TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,4819856531364,0.11385,0.16695,0.00000,1,
0.01758,4819856568944,0.11566,0.17141,0.01758,1,
0.03418,4819856603475,0.11630,0.17172,0.03418,1,
0.05566,4819856650606,0.11312,0.16329,0.05567,1,
0.06641,4819856673156,0.11277,0.16270,0.06640,1,
0.09082,4819856724290,0.11198,0.16035,0.09083,1,
0.11914,4819856786068,0.11543,0.14837,0.11915,1,
0.13477,4819856819687,0.11758,0.14506,0.13476,1,
0.15039,4819856852716,0.11921,0.14279,0.15040,1,
0.16699,4819856889339,0.11986,0.14152,0.16700,1,
0.18457,4819856926717,0.12063,0.14109,0.18458,1,
0.21582,4819856992985,0.12130,0.13995,0.21582,1,
0.23047,4819857025291,0.12221,0.13809,0.23046,1,
0.24902,4819857063691,0.12257,0.13675,0.24902,1,
0.26465,4819857098227,0.12349,0.13614,0.26465,1,
0.28711,4819857146759,0.12434,0.13568,0.28710,1,
0.29590,4819857165601,0.12366,0.13607,0.29590,1,
0.31543,4819857207185,0.12433,0.13576,0.31543,1,
0.32910,4819857236833,0.12495,0.13548,0.32910,1,
0.34766,4819857275864,0.12809,0.13504,0.34765,1,
0.38086,4819857346361,0.13243,0.13587,0.38085,1,
0.39746,4819857382933,0.13500,0.13571,0.39746,1,
0.41309,4819857416560,0.13687,0.13416,0.41309,1,
0.42871,4819857449638,0.16306,0.12370,0.41309,0,
0.44434,4819857483864,0.17455,0.10076,0.41309,0,
0.46094,4819857517994,0.17146,0.10469,0.41309,0,
0.48438,4819857569040,0.17096,0.11183,0.05566,1,
0.49316,4819857588437,0.17368,0.11436,0.06445,1,
0.52246,4819857649915,0.17697,0.12018,0.09375,1,
0.54297,4819857693416,0.18002,0.12593,0.11426,1,
0.55957,4819857729332,0.17978,0.12852,0.13086,1,
0.57617,4819857766326,0.17919,0.12854,0.14746,1,
0.59277,4819857800388,0.17939,0.12776,0.16406,1,
0.60840,4819857835071,0.17642,0.12486,0.17969,1,
