TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,4815508391696,0.00000,0.00000,0.00000,0,
0.01709,4815508428288,0.00000,0.00000,0.00000,0,
0.03369,4815508463460,0.00000,0.00000,0.00000,0,
0.05225,4815508503770,0.00000,0.00000,0.00000,0,
0.06592,4815508532307,0.00000,0.00000,0.00000,0,
0.08252,4815508568757,0.00000,0.00000,0.00000,0,
0.09766,4815508600620,0.00000,0.00000,0.00000,0,
0.11475,4815508637621,0.00000,0.00000,0.00000,0,
0.13330,4815508676902,0.38515,0.14223,0.00000,0,
0.15869,4815508731356,0.38786,0.14966,0.00000,0,
0.16357,4815508742192,0.38853,0.14891,0.00000,0,
0.18311,4815508783755,0.39017,0.14383,0.04980,1,
0.19482,4815508809398,0.39269,0.13759,0.06152,1,
0.21533,4815508852916,0.39436,0.13342,0.08203,1,
0.22705,4815508878535,0.39318,0.13346,0.09375,1,
0.24414,4815508915018,0.39486,0.13712,0.11084,1,
0.26807,4815508966294,0.39616,0.13933,0.13477,1,
0.27637,4815508983902,0.39600,0.13608,0.14307,1,
0.29492,4815509023192,0.39552,0.13001,0.16162,1,
0.31006,4815509055611,0.39495,0.12269,0.17676,1,
0.32568,4815509089813,0.39328,0.11926,0.19238,1,
0.34326,4815509127730,0.39071,0.11484,0.20996,1,
0.35889,4815509160909,0.38853,0.11137,0.22559,1,
0.38574,4815509218372,0.38756,0.11001,0.25244,1,
0.39307,4815509234155,0.38662,0.10949,0.25977,1,
0.41553,4815509282547,0.38583,0.10955,0.28223,1,
0.42432,4815509301125,0.38465,0.11083,0.29102,1,
0.44092,4815509336535,0.38335,0.11221,0.30762,1,
0.45898,4815509374932,0.38219,0.11373,0.32568,1,
0.47363,4815509406634,0.38226,0.11435,0.34033,1,
0.49023,4815509442403,0.38267,0.11572,0.35693,1,
0.51416,4815509494130,0.38307,0.11719,0.38086,1,
0.52441,4815509515586,0.38302,0.11658,0.39111,1,
0.54346,4815509556930,0.38332,0.11654,0.41016,1,
0.55664,4815509585114,0.38360,0.11668,0.42334,1,
0.57324,4815509620481,0.38353,0.11669,0.43994,1,
0.59033,4815509656705,0.38276,0.11827,0.45703,1,
0.61377,4815509707337,0.38203,0.11981,0.48047,1,
0.62158,4815509724362,0.38144,0.12065,0.48828,1,
0.64453,4815509773526,0.38096,0.12082,0.51123,1,
0.65771,4815509801348,0.38049,0.12068,0.52441,1,
0.67090,4815509829526,0.38034,0.12088,0.53760,1,
0.69092,4815509872522,0.37968,0.12156,0.55762,1,
0.70605,4815509905012,0.37906,0.12220,0.57275,1,
