TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.03292,5177648978952,0.54980,0.18034,0.03291,1,
0.32848,5177649612476,0.54875,0.23639,0.22819,1,
0.75604,5177650528943,0.54310,0.23410,0.41087,1,
1.44563,5177652007048,0.55008,0.55687,0.42514,1,
1.90585,5177652993532,0.54977,0.50121,0.44357,1,
2.26749,5177653768688,0.09787,0.15663,0.24652,1,
2.72856,5177654757006,0.07236,0.39881,0.39571,1,
3.49929,5177656409054,0.11312,0.25452,0.45969,1,
3.92635,5177657324440,0.09997,0.22721,0.41048,1,
4.40324,5177658346632,0.09166,0.33977,0.46004,1,
4.76575,5177659123659,0.11537,0.38086,0.34447,1,
5.42175,5177660529793,0.10744,0.31151,0.44195,1,
5.86515,5177661480222,0.14367,0.27844,0.42727,1,
6.07890,5177661938399,0.09382,0.36882,0.19715,1,
6.48946,5177662818430,0.07805,0.45118,0.39450,1,
6.83422,5177663557410,0.07433,0.48203,0.32838,1,
7.36185,5177664688379,0.10174,0.46830,0.51086,1,
7.60645,5177665212676,0.07523,0.54736,0.23015,1,
7.88605,5177665811988,0.04449,0.58108,0.26323,1,
8.41158,5177666938460,0.05408,0.62045,0.50938,1,
9.11824,5177668453177,0.07395,0.70204,0.59145,1,
9.51212,5177669297448,0.09456,0.70829,0.37611,1,
9.87383,5177670072772,0.04902,0.66300,0.34514,1,
10.17075,5177670709199,0.07199,0.69602,0.28049,1,
10.81106,5177672081688,0.06181,0.45549,0.47627,1,
11.05680,5177672608431,0.09774,0.55448,0.23045,1,
11.58315,5177673736668,0.07727,0.70114,0.51001,1,
12.05869,5177674755985,0.10147,0.71438,0.45998,1,
12.78149,5177676305276,0.85779,0.94023,0.65611,1,
12.99662,5177676766396,0.68659,0.72429,0.19849,1,
13.29057,5177677396477,0.16120,0.35581,0.22951,1,
13.61967,5177678101880,0.06004,0.25989,0.26302,1,
13.68517,5177678242309,0.10679,0.34088,0.04919,1,
14.17822,5177679299145,0.09870,0.22753,0.22845,1,
14.67086,5177680355093,0.05915,0.13953,0.47643,1,
14.91727,5177680883297,0.12973,0.28343,0.23013,1,
15.14722,5177681376191,0.09937,0.39980,0.21361,1,
15.21314,5177681517484,0.06853,0.47371,0.04932,1,
15.69012,5177682539858,0.03705,0.39260,0.21255,1,
15.91927,5177683031047,0.03431,0.44904,0.21364,1,
16.18220,5177683594629,0.07662,0.52421,0.24625,1,
16.46181,5177684193972,0.08250,0.50135,0.26315,1,
16.83929,5177685003081,0.06287,0.47864,0.36118,1,
17.05328,5177685461757,0.06325,0.66991,0.19724,1,
17.52953,5177686482620,0.08030,0.61928,0.40985,1,
17.74293,5177686940035,0.08754,0.32294,0.19685,1,
18.00574,5177687503363,0.07121,0.26290,0.24614,1,
18.38369,5177688313496,0.08436,0.28556,0.36154,1,
18.71232,5177689017914,0.11427,0.56966,0.26277,1,
19.04099,5177689722412,0.07166,0.48666,0.31219,1,
19.33674,5177690356320,0.06142,0.42359,0.27960,1,
19.69796,5177691130594,0.05604,0.35445,0.29562,1,
20.09234,5177691975959,0.02874,0.33001,0.37785,1,
20.55222,5177692961688,0.05608,0.35045,0.44325,1,
21.04662,5177694021425,0.06436,0.42912,0.23146,1,
21.32444,5177694616923,0.06408,0.49079,0.26300,1,
21.86658,5177695779010,0.05843,0.59748,0.47624,1,
22.17864,5177696447914,0.06756,0.53610,0.29568,1,
22.70553,5177697577270,0.86182,0.87626,0.41179,1,
23.08337,5177698387152,0.87117,0.91708,0.36197,1,
23.55877,5177699406190,0.08065,0.23618,0.21185,1,
24.18293,5177700744066,0.09776,0.30360,0.60771,1,
24.62782,5177701697655,0.08691,0.32427,0.42819,1,
25.20184,5177702928062,0.07295,0.57015,0.45894,1,
25.59595,5177703772864,0.08343,0.62108,0.37782,1,
26.26951,5177705216597,0.06235,0.42252,0.60797,1,
26.68003,5177706096545,0.06041,0.36894,0.39418,1,
27.05798,5177706906672,0.02873,0.46312,0.31204,1,
27.35387,5177707540919,0.07992,0.48435,0.27917,1,
27.58640,5177708039352,0.10760,0.36987,0.21622,1,
28.01107,5177708949616,0.06803,0.23395,0.41075,1,
28.27415,5177709513503,0.08680,0.31897,0.24699,1,
28.60213,5177710216543,0.06819,0.44531,0.31192,1,
28.71717,5177710463132,0.06220,0.56273,0.04903,1,
28.99668,5177711062233,0.12070,0.45746,0.21355,1,
29.45632,5177712047478,0.07362,0.41522,0.44342,1,
29.83477,5177712858662,0.84352,0.87538,0.26277,1,
30.32912,5177713918331,0.90888,0.93336,0.47829,1,
31.13259,5177715640545,0.06754,0.70703,0.49298,1,
31.70776,5177716873399,0.11516,0.67478,0.55873,1,
32.16740,5177717858624,0.25729,0.28148,0.19598,1,
32.66001,5177718914524,0.08645,0.24482,0.37758,1,
33.02181,5177719690055,0.10065,0.21704,0.34506,1,
33.25173,5177720182860,0.14433,0.25944,0.21341,1,
33.72828,5177721204328,0.08188,0.39906,0.41104,1,
34.13918,5177722085094,0.08794,0.41264,0.39354,1,
34.41933,5177722685621,0.08738,0.37782,0.26360,1,
34.91109,5177723739696,0.07546,0.60238,0.23038,1,
35.19039,5177724338362,0.07932,0.69453,0.26311,1,
35.61843,5177725255834,0.08922,0.73157,0.41171,1,
36.47176,5177727084936,0.14285,0.67003,0.54230,1,
36.75074,5177727682917,0.17724,0.64175,0.21332,1,
37.32607,5177728916144,0.16954,0.60967,0.55861,1,
37.60540,5177729514883,0.16440,0.61680,0.26294,1,
37.99984,5177730360367,0.17936,0.62798,0.37799,1,
38.22948,5177730852590,0.17228,0.50899,0.21371,1,
38.64036,5177731733301,0.15860,0.20333,0.34492,1,
38.98547,5177732473035,0.08962,0.24432,0.32666,1,
39.33230,5177733216459,0.04982,0.53348,0.28119,1,
39.59333,5177733775962,0.01577,0.50934,0.24672,1,
40.03690,5177734726759,0.07277,0.60048,0.42741,1,
40.23376,5177735148706,0.26713,0.66092,0.13062,1,
40.66151,5177736065582,0.90074,0.89047,0.36180,1,
40.98951,5177736768666,0.90585,0.90851,0.31195,1,
41.90960,5177738740860,0.09354,0.72403,0.60655,1,
42.35323,5177739691768,0.07402,0.17844,0.37764,1,
42.78051,5177740607650,0.13498,0.25997,0.41086,1,
43.14178,5177741382002,0.08721,0.19739,0.34483,1,
43.38987,5177741913793,0.15814,0.24460,0.23169,1,
43.89742,5177743001717,0.24340,0.16882,0.29466,1,
44.42298,5177744128240,0.31444,0.13737,0.50909,1,
44.52276,5177744342106,0.33851,0.16073,0.08308,1,
44.98171,5177745325888,0.27844,0.20023,0.19579,1,
45.31016,5177746029887,0.05784,0.43919,0.26047,1,
45.75381,5177746980855,0.07858,0.17533,0.37761,1,
46.06580,5177747649614,0.15804,0.18295,0.29546,1,
46.32885,5177748213435,0.22244,0.09880,0.24648,1,
46.60845,5177748812765,0.31195,0.15379,0.26324,1,
46.87116,5177749375864,0.37221,0.13914,0.24625,1,
47.41421,5177750539874,0.35709,0.14827,0.52658,1,
47.88975,5177751559192,0.35303,0.08254,0.21376,1,
48.20179,5177752228063,0.33239,0.12098,0.29594,1,
48.64555,5177753179249,0.07476,0.47021,0.37808,1,
49.05618,5177754059397,0.09996,0.43923,0.39417,1,
49.41730,5177754833475,0.07305,0.21985,0.29590,1,
49.77868,5177755608086,0.04473,0.50249,0.29535,1,
50.18966,5177756489016,0.05554,0.47298,0.39418,1,
50.84657,5177757897094,0.06666,0.61793,0.44342,1,
51.37272,5177759024879,0.04938,0.65503,0.50964,1,
51.61868,5177759552087,0.06835,0.60088,0.22992,1,
52.01305,5177760397443,0.08411,0.64474,0.37782,1,
52.35828,5177761137429,0.06330,0.65726,0.32863,1,
53.09777,5177762722503,0.85941,0.89981,0.62445,1,
53.85319,5177764341713,0.07667,0.21934,0.34491,1,
54.18262,5177765047858,0.09078,0.30246,0.21431,1,
54.42809,5177765574016,0.07648,0.17254,0.23012,1,
54.65832,5177766067491,0.11865,0.23597,0.21375,1,
54.90478,5177766595796,0.12322,0.34139,0.23036,1,
55.16738,5177767158678,0.05905,0.40720,0.24617,1,
55.74229,5177768390956,0.08317,0.43373,0.55832,1,
56.12035,5177769201345,0.08384,0.55290,0.36024,1,
56.22041,5177769415797,0.06680,0.54050,0.08353,1,
56.82714,5177770716320,0.05131,0.58228,0.49170,1,
