TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,5519162951414,0.00000,0.00000,0.00000,0,
0.01563,5519162986176,0.00000,0.00000,0.00000,0,
0.03125,5519163021470,0.00000,0.00000,0.00000,0,
0.04688,5519163056672,0.00000,0.00000,0.00000,0,
0.06250,5519163091655,0.17800,-0.02215,0.00000,0,
0.07813,5519163127924,0.34854,-0.04648,0.00000,0,
0.09375,5519163160932,0.34551,-0.04129,0.00000,0,
0.10938,5519163195933,0.35460,-0.03736,0.00000,0,
0.12500,5519163231326,0.35487,-0.03212,0.04688,1,
0.14063,5519163266323,0.35535,-0.02917,0.06250,1,
0.15625,5519163301892,0.35933,-0.03225,0.07813,1,
0.17969,5519163336251,0.36183,-0.03866,0.10156,1,
0.19531,5519163371936,0.36319,-0.04682,0.11719,1,
0.21094,5519163407218,0.36528,-0.05341,0.13281,1,
0.22656,5519163442467,0.36437,-0.05558,0.14844,1,
0.24219,5519163477564,0.36388,-0.05542,0.16406,1,
0.25781,5519163512541,0.36466,-0.05328,0.17969,1,
0.27344,5519163547958,0.36595,-0.05317,0.19531,1,
0.28906,5519163582741,0.36705,-0.05309,0.21094,1,
0.30469,5519163618226,0.36757,-0.05295,0.22656,1,
0.32813,5519163654013,0.36754,-0.05318,0.25000,1,
0.34375,5519163689001,0.36751,-0.05338,0.26563,1,
0.35938,5519163724413,0.36735,-0.05227,0.28125,1,
0.37500,5519163766254,0.36741,-0.05203,0.29688,1,
0.39063,5519163796479,0.36742,-0.05282,0.31250,1,
0.40625,5519163829758,0.36739,-0.05450,0.32813,1,
0.42188,5519163865309,0.36790,-0.05861,0.34375,1,
0.43750,5519163900930,0.36826,-0.06359,0.35938,1,
0.45313,5519163934982,0.36727,-0.06867,0.37500,1,
0.46875,5519163970246,0.36742,-0.07033,0.39063,1,
0.49219,5519164012064,0.36760,-0.07140,0.41406,1,
0.50781,5519164040375,0.36583,-0.06942,0.42969,1,
0.52344,5519164076152,0.36138,-0.05121,0.44531,1,
0.53906,5519164111296,0.34248,-0.00755,0.44531,0,
0.55469,5519164146785,0.26538,0.48576,0.44531,0,
0.57031,5519164181948,0.24251,0.66247,0.44531,0,
0.58594,5519164217895,0.19289,1.00231,0.44531,0,
0.60156,5519164251970,0.19610,0.99559,0.44531,0,
0.61719,5519164288260,0.19611,1.00433,0.44531,0,
0.63281,5519164322818,0.19687,1.00970,0.04688,1,
0.65625,5519164357966,0.19972,1.00073,0.07031,1,
0.67188,5519164393272,0.19936,1.00445,0.08594,1,
0.68750,5519164428097,0.20036,1.00843,0.10156,1,
0.70313,5519164464639,0.20346,1.00835,0.11719,1,
0.71875,5519164498884,0.20347,1.00743,0.13281,1,
0.73438,5519164533931,0.20347,1.00669,0.14844,1,
0.75000,5519164568931,0.20368,1.00733,0.16406,1,
0.76563,5519164604413,0.20530,1.00277,0.17969,1,
0.78125,5519164639179,0.20667,0.99891,0.19531,1,
0.79688,5519164674363,0.20514,0.99511,0.21094,1,
0.82031,5519164709655,0.20413,0.99308,0.23438,1,
0.83594,5519164747958,0.20324,0.99131,0.25000,1,
0.85156,5519164783223,0.20220,0.98905,0.26563,1,
0.86719,5519164815590,0.20203,0.98856,0.28125,1,
0.88281,5519164850929,0.20173,0.98796,0.29688,1,
0.89844,5519164885577,0.20187,0.98611,0.31250,1,
0.91406,5519164921407,0.20171,0.98374,0.32813,1,
0.92969,5519164956017,0.20144,0.98143,0.34375,1,
0.94531,5519164991888,0.19960,0.95483,0.34375,0,
0.96875,5519165026808,0.20675,0.95377,0.34375,0,
0.98438,5519165062210,0.20972,0.95389,0.34375,0,
1.00000,5519165097475,0.21574,0.95724,0.05469,1,
1.01563,5519165132782,0.22017,0.95523,0.07031,1,
1.03125,5519165167952,0.22311,0.95415,0.08594,1,
1.04688,5519165203298,0.22575,0.95452,0.10156,1,
1.06250,5519165238392,0.22601,0.95642,0.11719,1,
1.07813,5519165272917,0.22646,0.95809,0.13281,1,
1.09375,5519165308716,0.22530,0.95575,0.14844,1,
1.10938,5519165343544,0.22500,0.95404,0.16406,1,
1.13281,5519165379426,0.22455,0.95242,0.18750,1,
1.14844,5519165414436,0.22278,0.94974,0.20313,1,
1.16406,5519165449405,0.22190,0.95060,0.21875,1,
1.17969,5519165485021,0.22096,0.95113,0.23438,1,
1.19531,5519165519871,0.21975,0.95188,0.25000,1,
1.21094,5519165554759,0.21877,0.95113,0.26563,1,
1.22656,5519165590528,0.21759,0.95005,0.28125,1,
1.24219,5519165625541,0.21645,0.94896,0.29688,1,
1.25781,5519165662257,0.21462,0.94895,0.31250,1,
1.27344,5519165695760,0.21297,0.94894,0.32813,1,
1.29688,5519165730993,0.21160,0.95035,0.35156,1,
1.31250,5519165765929,0.21078,0.94830,0.36719,1,
1.32813,5519165801888,0.21026,0.94676,0.38281,1,
1.34375,5519165836451,0.21013,0.94519,0.39844,1,
1.35938,5519165871864,0.20999,0.94374,0.41406,1,
1.37500,5519165911910,0.21006,0.94270,0.42969,1,
1.39063,5519165942046,0.21088,0.94198,0.44531,1,
1.40625,5519165978112,0.21152,0.94157,0.46094,1,
1.42188,5519166013032,0.21210,0.94111,0.47656,1,
1.44531,5519166048344,0.21246,0.94119,0.50000,1,
1.46094,5519166083415,0.21294,0.94102,0.51563,1,
1.47656,5519166119076,0.21332,0.94080,0.53125,1,
1.49219,5519166155402,0.21321,0.94148,0.54688,1,
1.50781,5519166188455,0.21325,0.94228,0.56250,1,
