Seq, fpogx, fpogy, fpogd, s
1,0.36242,0.13566,1,0
1,0.28985,0.61652,0,3
1,0.28554,0.65975,0,4
1,0.26745,0.93108,2,6
1,0.17427,0.32149,0,1
1,0.07516,0.23339,2,0
1,0.07084,0.26412,0,6
1,0.04021,0.41096,0,2
1,0.05649,0.36526,0,1
1,0.07725,0.25465,0,6
1,0.07615,0.23331,1,0
1,0.04274,0.50868,0,6
1,0.04574,0.52701,1,3
1,0.07421,0.088,1,0
1,0.88861,0.05858,0,6
1,0.93983,0.20513,1,0
1,0.93448,0.32786,0,6
1,0.88999,0.87957,1,5
1,0.15607,0.22646,1,0
1,0.05123,0.5031,0,2
1,0.0482,0.51039,0,3
1,0.0548,0.50081,0,2
1,0.24938,0.30463,0,1
1,0.2717,0.25606,0,6
1,0.36045,0.09237,2,0
1,0.04639,0.3693,1,1
1,0.37555,0.13251,2,0
1,0.26283,0.36381,2,6
1,0.39973,0.30652,2,1
1,0.45932,0.28982,1,6
1,0.45861,0.24352,0,0
1,0.45908,0.24739,0,6
1,0.44451,0.2425,1,0
1,0.42946,0.28343,0,6
1,0.32515,0.37948,0,1
1,0.32243,0.395,0,2
1,0.3239,0.39151,0,1
1,0.32382,0.39155,0,1
1,0.3221,0.39568,1,2
1,0.4187,0.29041,1,1
1,0.42628,0.27599,0,6
1,0.43253,0.23645,0,0
1,0.42338,0.25943,0,6
1,0.35833,0.3086,1,1
1,0.3844,0.27919,0,6
1,0.43734,0.24141,1,0
1,0.40933,0.30762,2,1
1,0.42189,0.28801,1,1
1,0.45171,0.24281,1,0
1,0.44571,0.26926,0,6
1,0.42658,0.32034,0,1
1,0.42891,0.32077,0,6
1,0.40913,0.25877,0,6
1,0.39227,0.19539,1,0
1,0.42768,0.29131,0,6
1,0.42524,0.30363,0,1
1,0.42761,0.28133,0,6
1,0.10977,0.19258,1,0
1,0.95279,0.09796,1,0
1,0.96057,0.16272,0,6
1,0.07964,0.21383,2,0
2,0.10556,0.25008,0,6
2,0.09706,0.24362,0,0
2,0.09675,0.24606,0,6
2,0.06442,0.21873,2,0
2,0.04437,0.38811,1,1
2,0.07014,0.49786,2,2
2,0.05501,0.56398,2,3
2,0.04205,0.64797,1,4
2,0.1758,0.47809,2,2
2,0.5063,0.63455,0,6
2,0.89419,0.86623,2,5
3,0.0833,0.20266,2,0
3,0.07844,0.38726,2,1
3,0.05934,0.48334,2,2
3,0.0616,0.60265,2,3
3,0.04011,0.66684,1,4
3,0.04573,0.38929,0,1
3,0.05403,0.39526,0,2
3,0.07889,0.31069,2,1
3,0.06734,0.24665,0,6
3,0.06214,0.23962,1,0
3,0.05885,0.25692,0,6
3,0.06021,0.39401,1,2
3,0.06958,0.38543,1,1
3,0.89562,0.86082,2,5
4,0.06524,0.29392,0,1
4,0.0544,0.25243,0,6
4,0.07271,0.22113,2,0
4,0.06481,0.37525,2,1
4,0.06103,0.48099,2,2
4,0.04224,0.58518,2,3
4,0.07425,0.64227,2,4
4,0.06899,0.37941,2,1
4,0.88067,0.86117,1,5
5,0.04798,0.24968,0,6
5,0.14862,0.21981,2,0
5,0.12164,0.26776,0,6
5,0.05256,0.38533,0,1
5,0.07283,0.40596,2,2
5,0.07813,0.38096,1,1
5,0.02954,0.50316,1,2
5,0.04497,0.60922,1,3
5,0.15622,0.6398,2,4
5,0.027,0.58577,1,3
5,0.12921,0.21552,1,0
5,0.03678,0.57311,1,3
5,0.8818,0.85715,1,5
6,0.36906,0.18179,2,0
6,0.06606,0.3875,2,1
6,0.04558,0.50124,2,2
6,0.03587,0.51106,0,3
6,0.00733,0.55912,0,6
6,0.02797,0.56463,1,3
6,0.05596,0.66464,2,4
6,0.10548,0.48301,2,2
6,0.77266,0.82336,0,6
6,0.90494,0.85064,2,5
6,0.16043,0.22753,1,0
7,0.14062,0.25695,0,6
7,0.05215,0.38584,0,1
7,0.06112,0.39367,2,2
7,0.06241,0.39178,0,6
7,0.06396,0.39131,0,1
7,0.06924,0.39326,1,2
7,0.07365,0.39017,1,1
7,0.08331,0.48403,2,2
7,0.06979,0.62246,2,3
7,0.08194,0.66362,1,4
7,0.06663,0.51358,0,3
7,0.08492,0.47217,2,2
7,0.88279,0.86125,2,5
8,0.09738,0.22023,1,0
8,0.12997,0.27247,0,6
8,0.22275,0.22975,2,0
8,0.15568,0.27436,0,6
8,0.03681,0.49438,2,2
8,0.04579,0.59875,2,3
8,0.03092,0.67705,1,4
8,0.03659,0.50323,2,2
8,0.11191,0.20769,1,0
8,0.88996,0.85884,2,5
8,0.29251,0.19165,2,0
9,0.05159,0.395,1,2
9,0.04821,0.38685,0,1
9,0.04171,0.48732,2,2
9,0.05189,0.62034,2,3
9,0.04174,0.67197,2,4
9,0.10063,0.48432,1,2
9,0.8709,0.8733,2,5
10,0.11263,0.24707,0,6
10,0.1369,0.22625,2,0
10,0.07762,0.39717,1,2
10,0.07479,0.39067,0,1
10,0.0578,0.49849,2,2
10,0.08446,0.51516,0,3
10,0.07037,0.5046,0,2
10,0.04768,0.58974,2,3
10,0.05235,0.68264,2,4
10,0.07118,0.49045,2,2
10,0.72469,0.70881,0,6
10,0.90716,0.87586,2,5
11,0.09812,0.22728,2,0
11,0.0682,0.40895,1,2
11,0.10347,0.36353,2,1
11,0.03078,0.50206,0,2
11,0.03355,0.51032,1,3
11,0.03247,0.50777,0,2
11,0.03621,0.604,1,3
11,0.09498,0.66838,2,4
11,0.04769,0.49632,2,2
11,0.90636,0.86491,2,5
11,0.07994,0.2299,1,0
12,0.07654,0.2496,0,6
12,0.22258,0.2148,2,0
12,0.0457,0.3896,2,1
12,0.04992,0.47042,1,2
12,0.04186,0.50745,1,2
12,0.04179,0.60336,1,3
12,0.03975,0.68322,2,4
12,0.03478,0.42755,1,2
12,0.04167,0.65973,0,4
12,0.07907,0.56146,0,3
12,0.20064,0.25013,0,6
12,0.13964,0.23048,1,0
12,0.11022,0.34871,0,1
12,0.06362,0.68568,1,4
12,0.87011,0.88196,1,5
12,0.12637,0.24876,0,6
12,0.18801,0.22981,2,0
13,0.04323,0.50559,2,2
13,0.04696,0.61028,1,3
13,0.03376,0.68349,1,4
13,0.03537,0.38311,2,1
13,0.86413,0.83353,1,5
13,0.07126,0.35641,1,1
13,0.07972,0.25005,0,6
13,0.1079,0.22442,2,0
14,0.11631,0.24767,0,6
14,0.09768,0.23752,2,0
14,0.07428,0.4109,2,2
14,0.05324,0.38814,1,1
14,0.05719,0.3952,0,2
14,0.0458,0.50469,2,2
14,0.05577,0.59058,1,3
14,0.06398,0.68006,2,4
14,0.05471,0.49993,2,2
14,0.08243,0.51419,0,3
14,0.87939,0.87643,1,5
15,0.08088,0.2554,0,6
15,0.09882,0.23285,1,0
15,0.1442,0.24743,0,6
15,0.21442,0.22332,2,0
15,0.1702,0.26808,0,6
15,0.05825,0.39664,1,2
15,0.06026,0.38924,1,1
15,0.059,0.39277,0,2
15,0.0483,0.38909,1,1
15,0.05072,0.50318,2,2
15,0.03898,0.59969,2,3
15,0.06716,0.65058,1,4
15,0.04708,0.39325,2,2
15,0.04797,0.39284,0,2
15,0.0481,0.39209,0,6
15,0.0504,0.38948,1,1
15,0.0542,0.39379,0,2
15,0.88635,0.86123,2,5
16,0.10087,0.24506,0,0
16,0.17156,0.21773,1,0
16,0.17155,0.25214,0,6
16,0.16436,0.23659,1,0
16,0.15176,0.25634,0,6
16,0.07417,0.40275,1,2
16,0.08217,0.38787,2,1
16,0.03732,0.5034,2,2
16,0.09134,0.57253,2,3
16,0.02627,0.67628,2,4
16,0.03864,0.47986,2,2
16,0.89129,0.86018,1,5
16,0.10068,0.25423,1,6
17,0.06887,0.24282,1,0
17,0.06612,0.26045,2,6
17,0.05526,0.38234,0,1
17,0.06976,0.39577,2,2
17,0.04144,0.38501,0,1
17,0.05872,0.50479,2,2
17,0.07741,0.61821,1,3
17,0.05907,0.66625,1,4
17,0.0599,0.37518,1,1
17,0.06166,0.39174,0,6
17,0.08014,0.40192,1,2
17,0.86763,0.85176,1,5
17,0.10276,0.21209,1,0
18,0.047,0.3961,0,2
18,0.0464,0.39243,0,6
18,0.04969,0.3937,0,2
18,0.06795,0.49682,2,2
18,0.07806,0.59837,2,3
18,0.07749,0.67672,2,4
18,0.0948,0.48488,2,2
18,0.87175,0.88458,2,5
19,0.20655,0.21421,2,0
19,0.1118,0.35888,0,1
19,0.07292,0.39387,1,2
19,0.07403,0.39193,0,6
19,0.14715,0.37887,2,1
19,0.16406,0.47127,2,2
19,0.16766,0.56442,2,3
19,0.06496,0.67838,2,4
19,0.04942,0.50291,0,2
19,0.06396,0.59396,0,3
19,0.07369,0.63101,1,4
19,0.07499,0.61391,0,3
19,0.08136,0.51358,0,3
19,0.06391,0.50064,1,2
19,0.09566,0.67255,1,4
19,0.85228,0.85176,1,5
19,0.0981,0.51683,0,3
19,0.06519,0.49312,1,2
19,0.05514,0.18377,1,0
20,0.07061,0.24751,1,6
20,0.24558,0.23294,2,0
20,0.20195,0.27202,0,6
20,0.05347,0.43005,1,2
20,0.03547,0.50895,0,6
20,0.03864,0.50575,1,2
20,0.04285,0.60538,1,3
20,0.02952,0.66414,2,4
20,0.02791,0.55248,0,3
20,0.03686,0.46083,0,2
20,0.09647,0.23331,1,0
20,0.03973,0.54754,0,3
20,0.04002,0.50082,0,2
20,0.03447,0.52423,1,3
20,0.08329,0.41514,1,2
20,0.86513,0.87064,1,5
21,0.0699,0.22814,1,0
21,0.11476,0.24561,0,6
21,0.10562,0.23831,0,0
21,0.08846,0.27286,0,6
21,0.05082,0.38938,1,1
21,0.05545,0.39408,1,2
21,0.05645,0.39091,1,1
21,0.06279,0.3947,1,2
21,0.1054,0.38851,0,1
21,0.10803,0.39403,1,2
21,0.10592,0.37474,0,1
21,0.08681,0.21807,0,0
21,0.11405,0.2782,0,6
21,0.20834,0.36222,2,1
21,0.06256,0.5017,2,2
21,0.17111,0.57754,2,3
21,0.12455,0.63501,2,4
21,0.11271,0.61889,0,3
21,0.06432,0.50732,1,2
21,0.12068,0.51146,0,3
21,0.26098,0.41346,2,2
21,0.21501,0.36961,2,1
21,0.0554,0.46646,0,2
21,0.87929,0.89298,2,5
22,0.0833,0.25783,1,6
22,0.16503,0.22507,1,0
22,0.181,0.27014,0,6
22,0.06968,0.49753,2,2
22,0.0505,0.59053,2,3
22,0.05806,0.67385,2,4
22,0.07192,0.58861,2,3
22,0.8809,0.86014,1,5
22,0.1059,0.20065,1,0
23,0.06525,0.22701,1,0
23,0.05991,0.27619,0,6
23,0.04774,0.31866,0,1
23,0.07457,0.40488,1,2
23,0.06613,0.34472,1,1
23,0.13539,0.39661,0,2
23,0.24352,0.35481,2,1
23,0.06896,0.21735,1,0
23,0.165,0.46598,2,2
23,0.16553,0.57462,2,3
23,0.06069,0.68014,2,4
23,0.2949,0.60981,2,3
23,0.85322,0.87015,1,5
24,0.09713,0.3947,0,2
24,0.05787,0.30024,0,1
24,0.06535,0.24683,0,6
24,0.21466,0.22963,2,0
24,0.07093,0.37836,1,1
24,0.11039,0.39174,0,6
24,0.11053,0.38543,1,1
24,0.06687,0.49819,2,2
24,0.1058,0.57594,2,3
24,0.04645,0.67269,2,4
24,0.05949,0.49161,2,2
24,0.06926,0.51258,0,3
24,0.07226,0.40083,2,2
24,0.10722,0.39022,0,1
24,0.20863,0.4391,0,2
24,0.86835,0.86479,1,5
25,0.22404,0.22805,2,0
25,0.05668,0.38826,0,1
25,0.06395,0.40242,1,2
25,0.24705,0.2324,1,0
25,0.06609,0.49061,2,2
25,0.04488,0.58848,1,3
25,0.04005,0.64923,1,4
25,0.03741,0.56349,1,3
25,0.05924,0.40172,2,2
25,0.13994,0.20613,0,0
25,0.26447,0.30541,0,1
25,0.87334,0.78997,0,6
25,0.89481,0.87372,1,5
25,0.19054,0.22035,2,0
26,0.16357,0.2726,0,6
26,0.0681,0.37746,0,1
26,0.07504,0.40049,1,2
26,0.113,0.39128,0,1
26,0.11253,0.39404,0,2
26,0.23568,0.37018,2,1
26,0.24269,0.48807,2,2
26,0.17601,0.57405,2,3
26,0.12203,0.67629,2,4
26,0.05403,0.39361,0,2
26,0.05384,0.39094,0,1
26,0.07416,0.40008,1,2
26,0.18985,0.3709,2,1
26,0.09465,0.64824,0,4
26,0.20862,0.36936,1,1
26,0.83802,0.84708,1,5
26,0.10458,0.65352,2,4
27,0.09115,0.24886,0,6
27,0.08782,0.245,0,0
27,0.19567,0.23346,1,0
27,0.16903,0.25657,0,6
27,0.07879,0.38565,0,1
