Seq, fpogx, fpogy, fpogd, s
1,0.54935,0.17307,0,0
1,0.55014,0.25956,1,6
1,0.54839,0.24113,0,0
1,0.54654,0.24689,0,6
1,0.54242,0.22961,2,0
1,0.55258,0.50827,2,6
1,0.09724,0.14388,1,0
1,0.07752,0.39513,1,2
1,0.07424,0.38799,1,1
1,0.07236,0.39881,1,2
2,0.0912,0.29268,0,1
2,0.11302,0.25574,2,6
2,0.10068,0.22578,2,0
2,0.1256,0.39029,2,1
2,0.12989,0.39322,0,2
2,0.11553,0.38013,1,1
2,0.10683,0.31417,2,1
2,0.13749,0.28458,0,6
2,0.13518,0.29052,0,1
2,0.13346,0.28238,0,6
2,0.12859,0.2879,1,1
2,0.14204,0.27783,1,6
2,0.15251,0.26713,0,6
2,0.09595,0.36051,1,1
2,0.07449,0.5028,2,2
2,0.08164,0.51977,1,3
2,0.103,0.48433,2,2
2,0.07546,0.60387,1,3
2,0.05183,0.61599,2,3
2,0.07209,0.69703,2,4
2,0.09945,0.48822,2,2
2,0.10005,0.54543,1,3
2,0.09358,0.71503,2,4
2,0.819,0.87926,2,5
2,0.70732,0.74018,0,6
2,0.18718,0.40245,1,2
2,0.16457,0.36006,0,1
3,0.04038,0.23781,1,0
3,0.05706,0.25756,0,6
3,0.12009,0.29767,0,1
3,0.10731,0.25853,1,6
3,0.10638,0.22958,2,0
3,0.12821,0.27942,1,6
3,0.11959,0.37164,0,1
3,0.04612,0.40665,1,2
3,0.00501,0.37887,0,6
3,0.06482,0.49235,1,2
3,0.08238,0.51341,1,3
3,0.06403,0.47526,2,2
3,0.0412,0.60453,0,3
3,0.06655,0.64058,1,4
3,0.08343,0.62892,1,4
3,0.09213,0.58443,1,3
3,0.09528,0.4183,0,2
3,0.0886,0.3334,0,1
3,0.06407,0.23633,1,0
3,0.07121,0.2629,0,6
3,0.11205,0.2944,0,1
3,0.09382,0.25236,1,6
3,0.08593,0.26538,1,6
3,0.12336,0.62221,0,3
3,0.10424,0.54321,1,3
3,0.09699,0.50294,0,2
3,0.09574,0.51286,0,3
3,0.06469,0.43213,2,2
3,0.06608,0.37758,2,1
3,0.06062,0.47579,1,2
3,0.05718,0.53548,2,3
3,0.87103,0.9173,2,5
4,0.09216,0.23697,1,0
4,0.0939,0.28159,1,6
4,0.08697,0.32371,2,1
4,0.06692,0.60793,2,3
4,0.08098,0.62972,2,4
4,0.06222,0.42261,2,2
4,0.06054,0.36896,2,1
4,0.07792,0.48323,2,2
4,0.11542,0.41927,1,2
4,0.10902,0.37351,0,1
4,0.0674,0.23337,2,0
4,0.07734,0.25336,0,6
4,0.07656,0.22778,0,0
