Seq, fpogx, fpogy, fpogd, s
1,0.25018,1.06241,2,6
1,0.2156,0.61861,0,3
2,0.11181,0.31942,1,1
2,0.0798,0.50282,2,6
2,0.11504,0.68262,0,4
2,0.09881,0.75961,2,6
2,0.13776,0.37374,1,1
2,0.12902,0.27175,0,6
2,0.12298,0.29473,0,1
2,0.84567,0.89486,2,5
3,0.06541,0.65732,1,6
3,0.11993,0.32334,1,1
3,0.14264,0.39932,1,2
3,0.15251,0.38833,1,1
3,0.047,1.77762,0,6
3,0.12276,0.55452,2,3
3,0.11627,0.41479,2,2
3,0.07611,0.43284,2,6
3,0.10372,0.52073,2,3
3,0.10791,0.081,2,0
3,0.00813,1.41025,2,6
3,0.11635,0.24164,1,0
3,0.14991,0.37676,2,6
3,0.09875,0.41248,2,2
3,0.89694,0.8148,2,5
3,0.08993,0.50033,1,2
3,0.07585,0.47897,1,2
4,0.10328,0.50734,2,2
4,0.10161,0.50909,1,6
4,0.10118,0.50949,2,3
4,0.11661,0.17437,2,6
4,0.14403,0.19775,1,0
4,0.17648,0.24713,0,6
4,0.16463,0.30014,0,1
4,0.16113,0.26028,0,6
4,0.16116,0.27649,0,6
4,0.16103,0.29816,1,1
4,0.05456,0.37077,2,6
4,0.11608,0.48846,1,2
4,0.09352,0.7992,1,6
4,0.0927,0.55754,2,3
4,0.87755,0.96837,2,5
5,0.10933,2.4999,0,6
5,0.09868,0.42285,2,2
5,0.18245,0.38918,0,1
5,0.14987,0.39488,2,2
5,0.15122,0.39246,1,6
5,0.15438,0.39204,2,6
5,0.17456,0.39255,0,6
5,0.17771,0.39317,0,2
5,0.21838,0.51035,1,3
5,0.16779,0.93779,2,6
5,0.18858,0.3902,0,1
5,0.19409,0.42293,0,2
5,0.19959,0.32698,2,1
5,0.18425,0.05367,1,6
5,0.17057,0.08213,1,0
5,0.31868,1.43589,1,6
5,0.10103,0.50025,0,2
5,0.10922,2.08164,1,6
5,0.08987,0.50655,0,2
5,0.14491,0.17246,2,0
5,0.14338,0.28031,0,6
5,0.17328,0.34941,1,1
5,0.17132,0.40854,1,2
5,0.1883,0.33642,1,1
5,0.23769,0.60525,0,3
5,0.25478,0.63211,1,4
5,0.29198,0.70121,0,4
5,0.15236,0.86096,2,6
5,0.21255,0.31812,2,1
5,0.09746,0.44611,1,2
5,0.04305,0.61681,2,6
5,0.23804,0.69643,2,4
5,0.84705,0.87617,2,5
6,0.00822,0.45005,0,6
6,0.11533,0.43185,2,2
6,0.32137,1.11678,2,6
6,0.31017,0.19147,1,0
6,0.36472,0.77558,1,6
6,0.31892,0.24175,0,0
6,0.08964,0.39877,2,6
6,0.10984,0.43597,1,2
6,0.54706,7.83743,0,6
6,0.0905,0.55895,1,3
6,0.12239,0.48595,0,2
6,0.16724,0.58103,1,3
6,0.1843,0.42656,1,6
6,0.09801,0.50369,1,2
6,0.13465,0.61212,0,3
6,0.16548,0.69943,0,4
6,0.31963,0.54133,0,3
6,0.04877,1.49352,2,6
