Seq, fpogx, fpogy, fpogd, s
1,0.28635,0.12602,0,0
1,0.36288,0.06237,0,6
1,0.35997,0.09357,0,0
1,0.22839,0.87798,2,6
1,0.29819,0.73108,0,4
1,0.2915,0.74391,0,6
1,0.28395,0.67812,0,4
1,0.22912,0.28185,0,6
1,0.20776,0.25515,1,6
1,0.05056,0.23766,2,0
2,0.07644,0.24397,1,0
2,0.07826,0.2458,0,6
2,0.09205,0.24089,2,0
2,0.17161,0.2484,0,6
2,0.20706,0.21918,2,0
2,0.15679,0.26778,0,6
2,0.06062,0.38832,1,1
2,0.07037,0.41475,2,2
2,0.09628,0.54614,2,3
2,0.07233,0.62765,0,4
2,0.05999,0.62118,0,3
2,0.06475,0.62616,2,4
2,0.08802,0.60407,2,3
2,0.08422,0.66349,2,4
2,0.06192,0.54127,2,3
2,0.90214,0.81094,2,5
3,0.07684,0.22978,1,0
3,0.07525,0.22426,2,0
3,0.07594,0.26392,0,6
3,0.04656,0.38452,2,1
3,0.0657,0.40543,1,2
3,0.08397,0.38579,1,1
3,0.09591,0.40096,1,2
3,0.0864,0.38446,0,1
3,0.0762,0.46283,1,2
3,0.06912,0.62045,2,3
3,0.07376,0.62991,2,4
3,0.07666,0.61845,0,3
3,0.06458,0.69988,2,4
3,0.0727,0.39897,0,2
3,0.07455,0.3787,1,1
3,0.7372,0.65822,1,6
3,0.89615,0.83588,2,5
3,0.03309,0.11402,0,0
4,0.01319,0.10037,0,6
4,0.1538,0.01027,2,6
4,0.06955,0.23935,1,0
4,0.0777,0.26526,2,6
4,0.05816,0.39001,2,1
4,0.0613,0.39667,1,2
4,0.07531,0.37973,1,1
4,0.09857,0.43695,2,2
4,0.09908,0.38996,0,1
4,0.09645,0.39589,1,2
4,0.05017,0.38024,1,1
4,0.06862,0.51648,2,3
4,0.07184,0.50603,1,2
4,0.08086,0.52346,2,3
4,0.09093,0.60098,2,3
4,0.12063,0.66528,2,4
4,0.08956,0.25911,1,6
4,0.15781,0.05189,1,6
4,0.09563,0.41675,2,2
4,0.09116,0.38811,0,1
4,0.09493,0.42515,1,2
4,0.07634,0.50509,0,2
4,0.08616,0.53937,2,3
4,0.87668,0.82417,2,5
4,0.05628,0.18032,1,0
5,0.12115,0.25965,2,6
5,0.18011,0.17816,2,0
5,0.10199,0.42424,2,2
