Seq, fpogx, fpogy, fpogd, s
1,0.3449,0.0006,2,6
1,0.32146,0.71841,0,4
1,0.22273,1.00801,2,6
1,0.06588,0.48718,2,2
1,0.03502,0.35616,2,1
1,0.02868,0.13278,2,0
2,0.01664,0.15587,0,6
2,0.03248,0.07409,2,0
2,0.03157,0.06616,0,6
2,0.08131,0.09882,2,0
2,0.0192,0.10157,1,6
2,0.02234,0.11837,0,0
2,0.01426,0.16463,1,6
2,0.10278,0.15002,2,0
2,0.00115,0.33808,2,6
2,0.0137,0.39758,0,2
2,0.00324,0.36141,1,6
2,0.0232,0.38603,1,1
2,0.03849,0.45688,1,2
2,0.00608,0.50376,2,6
2,0.01732,0.5794,1,3
2,0.01013,0.69692,0,6
2,0.00989,0.69657,0,6
2,0.07561,0.68127,1,4
2,0.90619,0.86539,2,5
3,0.02172,0.09534,0,0
3,0.01833,0.08033,0,6
3,0.02998,0.22025,2,0
3,0.01253,0.31677,0,1
3,0.01367,0.2819,1,6
3,0.01815,0.28583,0,1
3,0.01731,0.28061,2,6
3,0.01713,0.28993,0,1
3,0.01123,0.41409,1,2
3,0.01005,0.40319,0,6
3,0.01188,0.3981,2,2
3,0.01743,0.11261,0,6
3,0.04414,0.13762,2,0
3,0.02529,0.27794,0,6
3,0.02463,0.29074,1,1
3,0.02497,0.28431,0,6
3,0.02751,0.28666,1,1
3,0.02363,0.28319,1,6
3,0.02197,0.29888,0,1
3,0.01273,0.5516,1,3
3,0.00596,0.55185,1,6
3,0.02846,0.42484,0,2
3,0.04254,0.06209,1,6
3,0.04608,0.1291,1,0
3,0.00134,0.6947,0,6
3,0.01462,0.6788,1,4
3,0.00086,0.6841,1,6
3,0.11878,0.70466,0,4
3,0.85084,0.82793,2,5
4,0.0041,0.08377,2,6
4,0.02729,0.08035,0,0
4,0.02775,0.06944,0,6
4,0.02348,0.12155,1,0
4,0.02236,0.30116,0,1
4,0.02139,0.25802,1,6
4,0.03677,0.24025,0,0
4,0.04248,0.27237,1,6
4,0.04246,0.29417,0,1
4,0.00243,0.34606,1,6
4,0.04052,0.38479,1,1
4,0.04027,0.40767,1,2
4,0.00385,0.56582,0,6
4,0.00965,0.56446,0,6
4,0.01214,0.54821,0,3
4,0.00854,0.53629,0,6
4,0.0201,0.56089,1,3
4,0.0833,0.65989,2,4
4,0.02452,0.65268,1,4
4,0.01851,0.54748,0,3
4,0.01979,0.3503,2,1
4,0.00664,0.41483,1,6
4,0.03886,0.48233,1,2
4,0.04311,0.55578,1,3
4,0.04323,0.63448,0,4
4,0.04949,0.59922,1,3
4,0.93948,0.77039,2,6
4,0.08427,0.0921,2,0
5,0.01818,0.06635,1,6
5,0.03007,0.23777,2,0
5,0.02882,0.27962,1,6
5,0.02969,0.31766,2,1
5,0.01123,0.43151,0,2
5,0.00125,0.4663,1,6
5,0.01801,0.56719,1,3
5,0.01524,0.67444,0,4
5,0.11692,0.73898,2,6
5,0.12765,0.67897,1,4
5,0.17231,0.61179,1,3
5,0.94612,0.80886,2,5
6,0.45044,0.39262,0,6
6,0.1107,0.08771,2,0
6,0.11086,0.03017,1,6
6,0.19149,0.07217,0,0
6,0.18211,0.05295,1,6
6,0.05022,0.10238,0,0
6,0.01487,0.1245,0,6
6,0.04957,0.11733,1,0
6,0.06391,0.05962,0,6
6,0.17906,0.0821,2,0
6,0.28584,0.06048,2,6
6,0.31547,0.08181,0,0
6,0.24486,0.06458,1,6
6,0.36157,0.09975,2,0
6,0.33256,0.0451,0,6
6,0.20393,0.13216,0,0
6,0.00604,0.30369,0,6
6,0.02457,0.37818,2,1
6,0.02925,0.43098,2,2
6,0.00113,0.67566,1,6
6,0.01632,0.69,0,4
6,0.00857,0.67319,0,6
6,0.0378,0.67051,1,4
6,0.90782,0.77178,1,6
6,0.04752,0.58735,2,3
6,0.00267,0.56994,1,6
6,0.0139,0.59126,0,3
6,0.00786,0.66936,0,6
6,0.08795,0.67661,0,4
