Seq, fpogx, fpogy, fpogd, s
1,0.10378,0.25572,2,6
1,0.09137,0.30139,1,1
1,0.09851,0.07026,1,6
2,0.1754,0.19176,2,0
2,0.07123,0.32269,2,1
2,0.11347,0.43612,0,2
2,0.1059,0.30807,0,1
2,0.10119,0.25061,0,6
2,0.09498,0.07697,0,0
2,0.10139,0.05468,2,6
2,0.08548,0.41939,1,2
2,0.08952,0.35581,2,1
2,0.15782,0.12168,2,0
2,0.09849,0.40348,1,2
2,0.06833,0.15087,1,0
2,0.10898,0.4472,2,2
2,0.11202,0.06436,0,6
2,0.10737,0.0717,1,0
2,0.11438,0.06765,0,6
2,0.16866,0.05901,0,6
2,0.05496,0.21513,1,0
2,0.08618,0.49491,2,2
2,0.0652,0.60845,2,3
2,0.10888,0.45134,2,2
2,0.06735,0.20977,1,0
2,0.06859,0.27544,0,6
2,0.0951,0.45863,2,2
2,0.88262,0.90169,1,5
2,0.17653,0.28863,0,1
2,0.16438,0.25205,0,6
2,0.10448,0.20805,1,0
2,0.08441,0.27747,1,6
2,0.07331,0.30682,1,1
2,0.09487,0.19394,2,0
3,0.08375,0.36562,1,1
3,0.07731,0.49904,2,2
3,0.07444,0.544,2,3
3,0.07961,0.42183,0,2
3,0.08065,0.36569,0,1
3,0.09696,0.2155,0,0
3,0.08913,0.27864,0,6
3,0.08685,0.34494,0,1
3,0.09824,0.39692,0,2
3,0.08076,0.32554,1,1
3,0.10318,0.41302,0,2
3,0.08966,0.35057,0,1
3,0.08749,0.27603,0,6
3,0.09424,0.31337,1,1
3,0.06703,0.63243,2,4
3,0.0795,0.54683,0,3
3,0.08508,0.48729,0,2
3,0.09921,0.16914,1,0
3,0.07394,0.51645,2,3
3,0.09173,0.43047,2,2
3,0.08072,0.29329,2,1
3,0.08779,0.25201,0,6
3,0.08111,0.2438,0,0
3,0.08871,0.27166,1,6
3,0.08085,0.31461,2,1
3,0.85378,0.84286,1,5
3,0.1169,0.2483,0,6
3,0.1056,0.24375,0,0
3,0.09235,0.27565,0,6
3,0.08987,0.31634,0,1
3,0.09644,0.40851,1,2
4,0.08707,0.07744,0,0
4,0.07331,0.0622,0,6
4,0.07383,0.07736,0,0
4,0.0769,0.05113,1,6
4,0.07584,0.08714,0,0
4,0.11857,0.39981,2,2
4,0.10201,0.34882,2,1
4,0.08175,0.23629,1,0
4,0.08075,0.25071,0,6
4,0.07049,0.38458,0,1
4,0.0762,0.48701,0,2
4,0.08997,0.51487,2,3
4,0.07626,0.50604,1,2
4,0.07412,0.50988,1,3
4,0.07426,0.5087,0,6
4,0.07458,0.50897,1,6
4,0.07681,0.51002,2,3
4,0.08358,0.41198,2,2
4,0.08214,0.29852,2,1
4,0.07548,0.01579,1,6
4,0.08143,0.07466,1,0
4,0.08067,0.06099,0,6
4,0.08442,0.07069,0,0
4,0.0853,0.06023,1,6
4,0.84229,0.78551,1,6
4,0.90112,0.87745,1,5
4,0.08638,0.35523,2,1
5,0.15911,0.10478,2,0
5,0.12634,0.05201,1,6
5,0.12258,0.09075,0,0
5,0.12844,0.30472,2,1
5,0.21011,0.177,2,0
5,0.08786,0.46578,2,2
5,0.13387,0.26484,0,6
5,0.15809,0.19176,2,0
5,0.11356,0.27401,0,6
5,0.11245,0.35265,2,1
5,0.07562,0.60168,2,3
5,0.12738,0.62845,1,4
5,0.14705,0.62427,2,3
5,0.15154,0.62187,1,3
5,0.20635,0.63843,2,4
5,0.22195,0.19516,2,0
5,0.07548,0.40724,1,2
5,0.11918,0.38409,2,1
5,0.06424,0.44919,2,2
5,0.83061,0.78085,0,6
5,0.87973,0.84903,1,5
5,0.12057,0.24408,0,0
5,0.11408,0.28014,1,6
6,0.09995,0.29113,2,1
6,0.10077,0.27688,0,6
6,0.3687,0.12429,2,0
6,0.08589,0.31346,1,1
6,0.09355,0.45656,2,2
6,0.07132,0.30569,1,1
6,0.06756,0.27557,0,6
6,0.11824,0.37916,1,1
6,0.07061,0.49679,2,2
6,0.05973,0.62058,0,3
6,0.0609,0.62616,0,4
6,0.09562,0.62538,0,4
6,0.90452,0.8896,1,5
6,0.13632,0.29588,0,1
6,0.12699,0.28229,1,6
6,0.11578,0.27411,1,6
7,0.11647,0.22155,2,0
7,0.08322,0.38388,2,1
7,0.0901,0.48779,2,2
7,0.08796,0.51215,0,3
7,0.08393,0.50646,0,2
7,0.0767,0.61985,2,3
7,0.08747,0.63306,2,4
7,0.90424,0.85352,1,5
7,0.0763,0.41409,2,2
8,0.1079,0.07198,1,0
8,0.10729,0.06474,0,6
8,0.25929,0.17675,2,0
8,0.06134,0.49673,1,2
8,0.06803,0.62008,2,3
8,0.0655,0.62821,0,4
8,0.05673,0.61217,2,3
8,0.05958,0.34234,2,1
8,0.05563,0.4888,1,2
8,0.05536,0.54195,1,3
8,0.11744,0.07691,0,0
8,0.11188,0.05654,1,6
8,0.13808,0.07678,0,0
8,0.14432,0.06679,0,6
8,0.16589,0.07625,1,0
8,0.20281,0.17956,1,0
8,0.07425,0.51791,0,3
8,0.06461,0.50557,1,2
8,0.05046,0.53961,2,3
8,0.07515,0.48187,2,2
8,0.05862,0.55385,2,3
8,0.15218,0.49096,0,2
8,0.89495,0.86654,1,5
8,0.07087,0.45381,2,2
9,0.08536,0.3162,1,1
9,0.12727,0.07715,0,0
9,0.14049,0.06517,1,6
9,0.26545,0.09185,2,0
9,0.06416,0.37148,0,1
9,0.06044,0.4757,1,2
9,0.04649,0.59266,1,3
9,0.06527,0.63681,1,4
9,0.06398,0.59046,0,3
9,0.08457,0.4038,0,2
9,0.09476,0.30294,2,1
9,0.07006,0.40093,0,2
9,0.07841,0.32803,0,1
9,0.23795,0.20964,2,0
9,0.19881,0.27435,0,6
9,0.17988,0.30465,0,1
9,0.08453,0.4026,0,2
9,0.08077,0.33258,2,1
9,0.07561,0.61369,2,3
9,0.0632,0.62983,2,4
9,0.05134,0.55556,0,3
9,0.06713,0.45023,2,2
9,0.07816,0.58478,1,3
9,0.0599,0.63279,2,4
9,0.06848,0.54123,2,3
9,0.07677,0.4499,1,2
9,0.07587,0.33905,2,1
9,0.8764,0.85324,1,5
9,0.08152,0.46501,2,2
10,0.0979,0.22204,2,0
10,0.09214,0.27187,0,6
10,0.077,0.29322,1,1
10,0.1201,0.28414,1,6
10,0.11811,0.30497,0,1
10,0.09284,0.47555,2,2
10,0.07729,0.54564,2,3
10,0.07263,0.50365,0,2
10,0.07625,0.51738,1,3
10,0.07213,0.43738,0,2
10,0.06823,0.38455,0,1
10,0.07405,0.4908,0,2
10,0.08496,0.64038,2,4
10,0.11275,0.35975,2,1
10,0.12262,0.42746,2,2
10,0.93095,0.90127,1,5
10,0.10392,0.35661,2,1
11,0.11633,0.29748,0,1
11,0.11202,0.25572,0,6
11,0.29349,0.095,2,0
11,0.33995,0.01988,0,6
11,0.29441,0.1221,2,0
11,0.06247,0.26181,0,6
11,0.0657,0.23328,0,0
11,0.07536,0.27741,0,6
11,0.09456,0.33006,1,1
11,0.11413,0.28176,0,6
11,0.0904,0.38154,2,1
11,0.06981,0.41115,0,2
11,0.07598,0.33237,0,1
11,0.09617,0.07408,0,0
11,0.10606,0.0671,1,6
11,0.12352,0.085,0,0
11,0.23219,0.18652,2,0
11,0.06065,0.50288,1,2
11,0.08111,0.61935,2,3
11,0.09736,0.62799,0,4
11,0.05275,0.52583,2,3
11,0.06901,0.42433,1,2
11,0.087,0.2989,1,1
11,0.08997,0.27245,0,6
11,0.15866,0.17068,1,0
11,0.85385,0.8432,1,5
11,0.71197,0.70935,0,6
11,0.14225,0.23785,0,0
12,0.11762,0.27534,0,6
12,0.19704,0.21767,2,0
12,0.06526,0.47105,1,2
12,0.05645,0.60968,1,3
12,0.05572,0.62628,2,4
12,0.05638,0.61177,0,3
12,0.07895,0.39667,1,2
12,0.08314,0.38288,2,1
12,0.27674,0.11185,2,0
12,0.46575,0.12006,0,0
12,0.87308,1.1458,1,6
12,0.0672,0.45655,2,2
12,0.05589,0.52324,1,3
12,0.05969,0.48947,0,2
12,0.07367,0.34547,2,1
12,0.07614,0.47477,2,2
12,0.06027,0.55415,2,3
12,0.05769,0.64704,2,4
12,0.06118,0.53846,1,3
12,0.07254,0.41273,1,2
12,0.08612,0.38682,0,1
12,0.06324,0.46615,2,2
12,0.0665,0.33515,2,1
12,0.06917,0.48177,1,2
12,0.05346,0.55783,1,3
12,0.05301,0.63848,2,4
12,0.05711,0.60736,2,3
12,0.10607,0.45844,2,2
12,0.93402,0.78697,0,6
12,0.92507,0.81021,1,5
12,0.11601,0.36142,1,1
12,0.21775,0.12221,2,0
13,0.07404,0.47745,2,2
13,0.11317,0.29782,1,1
13,0.09191,0.14778,2,0
13,0.10454,0.46886,1,2
13,0.88588,0.86732,1,5
13,0.06809,0.29487,1,1
13,0.07386,0.28176,1,6
13,0.07798,0.29062,0,1
13,0.07165,0.22231,1,0
13,0.06982,0.27102,0,6
13,0.07251,0.43103,2,2
13,0.08602,0.35629,2,1
13,0.0541,0.49378,1,2
13,0.0642,0.54819,2,3
13,0.0493,0.40812,1,2
13,0.05022,0.38552,1,1
13,0.06758,0.39731,0,2
13,0.07109,0.34677,1,1
13,0.06925,0.24788,0,6
13,0.07133,0.27287,0,6
13,0.0677,0.36464,0,1
13,0.0702,0.55256,2,3
13,0.07404,0.63089,1,4
13,0.06556,0.61317,2,3
13,0.08462,0.23131,0,0
13,0.0761,0.27609,0,6
13,0.12958,0.3716,1,1
13,0.90058,0.85589,1,5
13,0.08128,0.37079,2,1
13,0.21788,0.19738,0,0
13,0.87479,0.83126,1,5
13,0.16709,0.16979,1,0
13,0.09353,0.05638,0,6
13,0.108,0.22875,2,0
13,0.05641,0.27642,0,6
13,0.05807,0.29636,0,1
13,0.06261,0.25986,0,6
13,0.10784,0.13248,1,0
14,0.10143,0.08494,1,0
14,0.07283,0.29323,0,1
14,0.0768,0.2814,0,6
14,0.08225,0.38595,2,1
14,0.07555,0.49645,1,2
14,0.08436,0.62234,2,3
14,0.9129,0.84832,1,5
14,0.08117,0.33296,2,1
15,0.22648,0.21657,2,0
15,0.07692,0.4006,0,2
15,0.08395,0.38387,1,1
15,0.08004,0.47769,0,2
15,0.07642,0.50871,0,6
15,0.08048,0.51042,0,3
15,0.08696,0.47469,2,2
15,0.10751,0.36703,1,1
15,0.07286,0.50132,1,2
15,0.09155,0.57959,1,3
15,0.09538,0.65088,2,4
15,0.88363,0.79596,0,6
15,0.92591,0.90283,1,5
15,0.08549,0.3795,2,1
15,0.08998,0.44648,2,2
15,0.10364,0.2289,0,0
15,0.09731,0.26477,0,6
15,0.10112,0.29548,2,1
15,0.17684,0.0614,1,6
15,0.17611,0.07191,0,0
15,0.1767,0.06871,1,6
15,0.08292,0.22679,1,0
15,0.06982,0.28079,1,6
15,0.13224,0.31339,2,1
16,0.1294,0.25388,0,6
16,0.20259,0.16775,2,0
16,0.11086,0.29065,0,1
16,0.12801,0.30607,1,1
16,0.0637,0.43339,1,2
16,0.12751,0.52394,2,3
16,0.11915,0.47591,2,2
16,0.86832,0.84055,1,5
16,0.72239,0.7483,0,6
16,0.09527,0.29804,0,1
16,0.09457,0.28126,0,6
17,0.09591,0.28837,0,1
17,0.09642,0.27365,0,6
17,0.08777,0.1244,1,0
17,0.0909,0.3462,2,1
17,0.08747,0.41988,1,2
17,0.1046,0.34994,1,1
17,0.87094,0.84726,1,5
17,0.07564,0.39805,2,2
18,0.08363,0.32249,0,1
18,0.0884,0.25156,0,6
18,0.09153,0.23146,0,0
18,0.1067,0.05686,0,6
18,0.09384,0.14509,1,0
18,0.0754,0.30449,2,1
18,0.08713,0.07297,0,6
18,0.12025,0.15818,2,0
18,0.07123,0.34791,1,1
18,0.06019,0.47325,1,2
