Seq, fpogx, fpogy, fpogd, s
1,0.2153,0.90613,2,6
2,0.24482,0.5387,0,3
2,0.14983,0.19017,2,0
2,0.06537,0.39172,0,6
2,0.06858,0.3925,0,6
2,0.06382,0.39005,0,1
2,0.06395,0.39471,0,2
2,0.06033,0.38567,0,1
2,0.10233,0.46305,2,2
2,0.03306,0.56803,2,3
2,0.06009,0.66195,1,4
2,0.90226,0.93734,1,5
3,0.09766,0.18146,2,0
3,0.05524,0.43254,1,2
3,0.06053,0.39007,0,1
3,0.06643,0.39538,0,2
3,0.0681,0.39005,2,1
3,0.06737,0.39547,1,2
3,0.04857,0.56448,1,3
3,0.89841,0.92193,2,5
4,0.06584,0.25531,0,6
4,0.09513,0.21638,1,0
4,0.05427,0.37393,2,1
4,0.09249,0.2309,1,0
4,0.08995,0.26389,0,6
4,0.06736,0.44129,1,2
4,0.05846,0.52368,0,3
4,0.12853,0.48812,0,2
4,0.87797,0.92112,1,5
4,0.57831,0.69832,0,6
5,0.07905,0.38443,0,1
5,0.06855,0.39499,0,2
5,0.06962,0.37718,2,1
5,0.14588,0.21816,2,0
5,0.12472,0.28074,0,6
5,0.07189,0.46827,1,2
5,0.05029,0.52364,1,3
5,0.03993,0.48672,0,2
5,0.06161,0.58983,2,3
5,0.88047,0.92669,2,5
6,0.09102,0.26101,0,6
6,0.09724,0.16001,0,0
6,0.08291,0.06409,0,6
6,0.32317,0.16323,2,0
6,0.14253,0.47191,2,2
6,0.91301,0.95083,2,5
7,0.07914,0.40932,1,2
7,0.06446,0.31736,0,1
7,0.134,0.19788,1,0
7,0.07932,0.46646,2,2
7,0.86742,0.88231,1,5
7,0.05926,0.39826,0,2
7,0.0526,0.38645,0,1
8,0.05519,0.41134,0,2
8,0.08905,0.33049,0,1
8,0.36352,0.20307,2,0
8,0.46964,0.31527,0,6
8,0.88238,0.92436,1,5
9,0.26853,0.16038,2,0
9,0.03628,0.46198,2,2
9,0.91781,0.95185,1,5
9,0.08741,0.39743,1,2
10,0.08494,0.35879,0,1
10,0.11914,0.19145,2,0
10,0.05776,0.50424,1,2
10,0.05776,0.50978,0,3
10,0.06243,0.49279,1,2
10,0.08433,0.51201,0,3
10,0.09402,0.50628,0,2
10,0.18035,0.52036,0,3
10,0.86254,0.82202,1,5
10,0.10748,0.28635,1,1
10,0.11325,0.27624,1,6
11,0.26697,0.14395,2,0
11,0.04769,0.51528,1,3
11,0.04756,0.50756,0,2
11,0.89447,0.9119,1,5
11,0.32154,0.74202,0,6
11,0.2796,0.67273,0,4
12,0.12661,0.25511,0,6
12,0.12764,0.2445,0,0
12,0.2053,0.21559,2,0
12,0.16516,0.27763,0,6
12,0.05852,0.36779,1,1
12,0.03701,0.51311,0,3
12,0.04244,0.48969,2,2
12,0.04523,0.60349,2,3
12,0.0374,0.65233,2,4
12,0.8453,0.90765,1,5
13,0.13023,0.25003,0,6
13,0.1115,0.20153,1,0
13,0.03638,0.45978,1,2
13,0.0526,0.36638,2,1
13,0.06001,0.43712,1,2
13,0.07018,0.33902,1,1
13,0.27018,0.19955,1,0
13,0.89417,0.90833,2,5
14,0.09174,0.19373,1,0
14,0.14566,0.37282,1,1
14,0.88333,0.90904,1,5
14,0.19315,0.20259,2,0
15,0.08067,0.39352,2,2
15,0.06807,0.38608,2,1
15,0.05464,0.49639,0,2
15,0.03748,0.56493,1,3
15,0.05171,0.50266,0,2
15,0.0547,0.5106,0,3
15,0.04498,0.49954,0,2
15,0.02565,0.60374,0,3
15,0.20255,0.6881,0,4
15,0.85598,0.85741,1,5
16,0.74101,0.80972,0,6
16,0.11722,0.22722,1,0
16,0.05958,0.5132,1,3
16,0.11149,0.3128,1,1
16,0.13586,0.25539,1,6
16,0.09641,0.09133,1,0
16,0.11504,0.00426,2,6
16,0.12821,0.14889,2,0
16,0.08161,0.42937,1,2
16,0.11446,0.31054,1,1
16,0.15208,0.22705,1,0
16,0.11592,0.27506,0,6
16,0.10767,0.36925,2,1
16,0.04662,0.54072,1,3
16,0.20439,0.1659,1,0
16,0.76302,0.80166,0,6
16,0.91597,0.94969,1,5
17,0.09046,0.20858,1,0
17,0.08122,0.27211,0,6
17,0.07784,0.31632,0,1
17,0.06561,0.44878,2,2
17,0.06218,0.18297,1,0
17,0.06449,0.34386,2,1
17,0.88884,0.86866,2,5
18,0.07521,0.21079,1,0
18,0.07429,0.26311,0,6
18,0.06231,0.51333,0,3
18,0.05101,0.47406,1,2
18,0.05777,0.54638,1,3
18,0.05874,0.35283,1,1
18,0.12614,0.21722,1,0
18,0.12326,0.28329,0,6
18,0.09379,0.36049,0,1
18,0.11397,0.48096,1,2
18,0.90773,0.8961,2,5
19,0.19214,0.22049,2,0
19,0.08121,0.40433,2,2
19,0.08571,0.38952,0,1
19,0.19278,0.43329,2,2
19,0.12998,0.30363,0,1
19,0.12379,0.26343,0,6
19,0.13544,0.194,2,0
19,0.15144,0.25006,0,6
19,0.20991,0.22817,2,0
19,0.06643,0.39561,0,2
19,0.0581,0.38762,0,1
19,0.06835,0.40688,2,2
19,0.12662,0.31735,2,1
19,0.16958,0.33975,2,1
19,0.17054,0.44844,2,2
19,0.23534,0.16588,2,0
19,0.05334,0.57955,2,3
19,0.05546,0.6586,1,4
19,0.83745,0.93643,1,5
20,0.00833,0.17236,0,6
20,0.09204,0.19965,2,0
20,0.14519,0.24868,0,6
20,0.15591,0.24919,0,6
20,0.22109,0.14464,2,0
20,0.04345,0.61974,2,3
20,0.04522,0.67619,1,4
20,0.0265,0.53086,0,3
20,0.05629,0.40082,1,2
20,0.06798,0.21274,2,0
20,0.06254,0.3133,0,1
20,0.0479,0.66804,2,4
20,0.08926,0.6076,0,3
20,0.94247,0.94054,1,5
20,0.08294,0.20447,2,0
21,0.0608,0.39704,0,2
21,0.06383,0.38861,1,1
21,0.06506,0.39214,0,6
21,0.15727,0.32556,2,1
21,0.20217,0.23219,1,0
21,0.26753,0.28194,1,6
21,0.12759,0.36496,2,1
21,0.89313,0.91809,2,5
22,0.1965,0.20355,2,0
22,0.16227,0.27588,0,6
22,0.0639,0.41001,1,2
22,0.0779,0.33471,1,1
22,0.07214,0.44958,2,2
22,0.11724,0.22769,0,0
22,0.05278,0.63431,0,4
22,0.0813,0.54376,2,3
22,0.07972,0.44989,1,2
22,0.05529,0.55242,1,3
22,0.11686,0.19705,2,0
22,0.07375,0.55191,2,3
22,0.07682,0.51885,1,3
22,0.09456,0.40137,1,2
22,0.10277,0.38937,1,1
22,0.10395,0.39443,1,2
22,0.09973,0.37227,2,1
22,0.1117,0.98657,2,6
22,0.89339,0.92177,2,5
22,0.06266,0.40175,1,2
22,0.10165,0.32814,1,1
23,0.08927,0.2403,1,0
23,0.09083,0.24688,0,6
23,0.1059,0.20355,2,0
23,0.09077,0.27486,0,6
23,0.11303,0.38359,2,1
23,0.11563,0.40365,0,2
23,0.26987,0.31381,2,1
23,0.25342,0.25914,0,6
23,0.09736,0.1428,1,0
23,0.05761,0.62688,1,4
23,0.14649,0.5497,2,3
23,0.19654,0.45898,2,2
23,0.06695,0.70254,1,4
23,0.91211,0.96436,1,5
24,0.18178,0.19328,2,0
24,0.07566,0.38698,0,1
24,0.07389,0.41831,0,2
24,0.06046,0.56564,2,3
24,0.11117,0.47565,2,2
24,0.87799,0.86103,2,5
25,0.20718,0.17231,2,0
25,0.0397,0.51462,1,3
25,0.06207,0.39818,1,2
25,0.05709,0.35395,2,1
25,0.89346,0.94914,2,5
26,0.19105,0.14242,2,0
26,0.06069,0.39011,0,1
26,0.06272,0.39564,0,2
26,0.12638,0.34426,2,1
26,0.12634,0.21126,2,0
26,0.1519,0.27173,0,6
26,0.25685,0.37109,2,1
26,0.37734,0.4184,0,2
26,0.83291,0.89611,1,5
26,0.21057,0.39678,1,2
27,0.06521,0.31379,0,1
27,0.08086,0.25872,0,6
27,0.123,0.22267,2,0
27,0.11199,0.28109,0,6
27,0.09812,0.33511,0,1
27,0.06589,0.45108,1,2
27,0.17272,0.32812,2,1
27,0.17267,0.47798,2,2
27,0.19651,0.58409,0,3
27,0.90129,0.99714,1,5
27,0.89795,1.00247,0,6
27,0.88464,0.98802,0,5
27,0.27866,0.18898,2,0
28,0.05861,0.38855,1,1
28,0.06076,0.36754,0,1
28,0.12202,0.22097,1,0
28,0.07576,0.60848,0,3
28,0.19513,0.66089,0,4
28,0.92446,0.96333,1,5
28,0.2474,0.20396,2,0
29,0.05747,0.39592,0,2
29,0.06849,0.38749,1,1
29,0.04051,0.47303,1,2
29,0.04389,0.56395,1,3
29,0.04464,0.64746,1,4
29,0.09374,0.55636,0,3
29,0.90738,0.93535,2,5
30,0.15185,0.17617,2,0
30,0.20629,0.42922,2,2
30,0.203,0.33855,2,1
30,0.1972,0.44468,2,2
30,0.9038,0.90728,1,5
31,0.13271,0.25187,0,6
31,0.10229,0.15198,2,0
31,0.03858,0.51364,0,3
31,0.05016,0.50641,0,2
31,0.04958,0.51127,0,3
31,0.05634,0.41835,0,2
31,0.05976,0.36349,2,1
31,0.92475,0.95829,2,5
31,0.34638,0.11629,2,0
32,0.05649,0.42911,1,2
32,0.10054,0.34407,1,1
32,0.19442,0.21665,2,0
32,0.02604,0.49946,0,2
32,0.05194,0.60247,1,3
32,0.03184,0.65158,2,4
32,0.04478,0.52662,0,3
32,0.05522,0.39719,1,2
32,0.14206,0.38009,1,1
32,0.89146,0.89833,1,5
33,0.34769,0.11713,2,0
33,0.05349,0.50367,2,2
33,0.0426,0.59342,1,3
33,0.05042,0.67054,1,4
33,0.06449,0.60608,2,3
