Seq, fpogx, fpogy, fpogd, s
1,0.81793,0.53639,2,6
1,0.24813,0.24467,2,0
2,0.2586,0.24602,2,6
2,0.07191,0.1163,2,0
2,0.05574,0.37431,1,1
2,0.04897,0.39601,0,2
2,0.05289,0.38544,1,1
2,0.06418,0.42366,1,2
2,0.04846,0.23656,2,0
2,0.05971,0.25421,0,6
2,0.21245,0.23875,2,0
2,0.21737,0.2518,1,6
2,0.20138,0.24342,2,0
2,0.20813,0.24913,0,6
2,0.18456,0.19051,2,0
2,0.04278,0.36588,2,1
2,0.03527,0.46398,2,2
2,0.0684,0.51386,0,3
2,0.0639,0.50635,0,2
2,0.05549,0.62456,2,3
2,0.03723,0.67091,2,4
2,0.1068,0.23222,2,0
2,0.35556,0.66263,2,4
2,0.85426,0.79036,0,6
2,0.9027,0.8399,2,5
3,0.07839,0.20383,2,0
3,0.0359,0.17122,1,6
3,0.06076,0.24134,2,0
3,0.07113,0.25552,1,6
3,0.10348,0.21195,2,0
3,0.03351,0.38592,0,1
3,0.05572,0.39746,2,2
3,0.06413,0.35905,2,1
3,0.0666,0.5025,0,2
3,0.08937,0.51453,2,3
3,0.08491,0.50649,1,2
3,0.07854,0.51092,2,3
3,0.07404,0.50765,1,2
3,0.07292,0.62242,2,3
3,0.07831,0.62616,1,4
3,0.07927,0.62211,2,3
3,0.04247,0.6797,2,4
3,0.05859,0.53421,1,3
3,0.09121,0.50364,1,2
3,0.09474,0.50975,0,3
3,0.08519,0.4803,1,2
3,0.04825,0.34781,2,1
3,0.04245,0.41556,2,2
3,0.86666,0.86011,2,5
4,0.04269,0.32695,1,1
4,0.05763,0.23806,2,0
4,0.06281,0.24962,0,6
4,0.08871,0.19505,2,0
4,0.10734,0.24755,0,6
4,0.07826,0.2131,2,0
4,0.08059,0.29108,0,1
4,0.07495,0.25639,0,6
4,0.05636,0.23669,2,0
4,0.06119,0.24744,0,6
4,0.07647,0.22835,2,0
4,0.0347,0.37696,2,1
4,0.04327,0.4026,0,2
4,0.0423,0.3883,1,1
4,0.04462,0.39898,0,2
4,0.07752,0.52809,2,3
4,0.08293,0.50535,1,2
4,0.08369,0.50914,0,6
4,0.08618,0.51481,0,3
4,0.08658,0.50511,1,2
4,0.08776,0.50895,0,6
4,0.0859,0.50737,1,2
4,0.08543,0.50904,0,6
4,0.08736,0.50986,1,3
4,0.08715,0.50318,1,2
4,0.05739,0.37091,2,1
4,0.05719,0.38439,1,1
4,0.06414,0.39824,0,2
4,0.08707,0.38709,2,1
4,0.07248,0.4753,0,2
4,0.07552,0.51283,0,3
4,0.05409,0.50274,2,2
4,0.08948,0.5193,2,3
4,0.07568,0.41429,0,2
4,0.07329,0.36976,0,1
4,0.05367,0.24874,0,6
4,0.05491,0.23384,1,0
4,0.05677,0.26746,0,6
4,0.0697,0.62428,2,3
4,0.07631,0.62926,2,4
4,0.06701,0.61865,2,3
4,0.05578,0.69629,2,4
4,0.0594,0.19983,2,0
4,0.04803,0.50885,0,6
4,0.02953,0.49523,0,2
4,0.06219,0.62224,1,3
4,0.06283,0.62641,2,4
4,0.05985,0.62444,2,3
4,0.06207,0.62532,2,4
4,0.05738,0.62175,2,3
4,0.05881,0.62532,1,4
4,0.05616,0.62467,2,3
4,0.06248,0.62376,2,3
4,0.0659,0.62546,2,4
4,0.06885,0.62425,2,3
4,0.07261,0.62792,2,4
4,0.08964,0.51784,2,3
4,0.8989,0.84743,2,5
5,0.03939,0.33557,2,1
5,0.10347,0.13661,2,0
5,0.12899,0.03374,0,6
5,0.13851,0.19648,1,0
5,0.06534,0.61787,1,3
5,0.06237,0.62678,0,4
5,0.03538,0.60381,2,3
5,0.00672,0.54445,0,6
5,0.07844,0.57854,0,3
5,0.88956,0.84518,2,5
6,0.08799,0.24752,0,6
6,0.21863,0.23964,2,0
6,0.22764,0.24852,1,6
6,0.35947,0.21592,2,0
6,0.28029,0.26867,0,6
6,0.21702,0.32601,0,1
6,0.0572,0.39777,1,2
6,0.04201,0.34596,1,1
6,0.09376,0.4018,0,2
6,0.07999,0.38782,0,1
6,0.04417,0.41397,2,2
6,0.06337,0.52412,2,3
6,0.07133,0.48652,1,2
6,0.06656,0.62854,1,4
6,0.06574,0.58701,2,3
6,0.0491,0.63773,1,4
6,0.0757,0.60639,2,3
6,0.0454,0.68299,2,4
6,0.0605,0.55604,1,3
6,0.05518,0.50165,1,2
6,0.06095,0.51551,2,3
6,0.02581,0.50037,0,2
6,0.03869,0.52804,1,3
6,0.05144,0.50535,0,2
6,0.05451,0.5235,2,3
6,0.0353,0.50138,0,2
6,0.07151,0.51226,2,3
6,0.06609,0.30112,0,1
6,0.07653,0.25737,1,6
6,0.18286,0.23914,1,0
6,0.20681,0.2483,0,6
6,0.1946,0.26139,0,6
6,0.06066,0.59309,2,3
6,0.06135,0.68216,2,4
6,0.05531,0.39842,1,2
6,0.05331,0.3905,1,1
6,0.04701,0.39985,2,2
6,0.07036,0.67139,1,4
6,0.08121,0.54673,2,3
6,0.06812,0.49995,1,2
6,0.07827,0.51695,0,3
6,0.8839,0.8421,2,5
7,0.15757,0.29988,1,1
7,0.08882,0.22466,2,0
7,0.04918,0.24667,2,6
7,0.0493,0.2467,2,6
7,0.02937,0.21642,1,0
7,0.01958,0.19852,0,6
7,0.03245,0.21487,1,0
7,0.04739,0.26063,1,6
7,0.05325,0.22975,0,0
7,0.05042,0.2698,0,6
7,0.08421,0.38619,2,1
7,0.09421,0.39948,2,2
7,0.05686,0.38472,1,1
7,0.07741,0.62321,2,3
7,0.07714,0.6257,2,4
7,0.0745,0.62354,2,3
7,0.07944,0.68849,2,4
7,0.07655,0.40591,1,2
7,0.09628,0.3871,2,1
7,0.0959,0.40081,1,2
7,0.03682,0.37629,2,1
7,0.08281,0.23518,0,0
7,0.07811,0.24917,0,6
7,0.07659,0.24502,0,0
7,0.07474,0.24901,1,6
7,0.04706,0.22191,1,0
7,0.0499,0.36981,0,1
7,0.06967,0.49767,2,2
7,0.00857,0.46602,0,6
7,0.08463,0.49599,0,2
7,0.24095,0.5719,0,3
7,0.8839,0.86021,2,5
8,0.28263,0.24395,2,0
8,0.28258,0.24909,1,6
8,0.27724,0.24396,0,0
8,0.06035,0.29457,0,1
8,0.06544,0.2783,1,6
8,0.03028,0.38678,1,1
8,0.06921,0.5057,1,2
8,0.06212,0.61823,2,3
8,0.16321,0.29159,0,1
8,0.17139,0.2491,1,6
8,0.17803,0.19402,0,0
8,0.04502,0.50562,0,2
8,0.05633,0.51504,1,3
8,0.05461,0.48576,0,2
8,0.04093,0.3744,1,1
8,0.0631,0.63423,2,4
8,0.04908,0.51954,1,3
8,0.05209,0.50009,0,2
8,0.06228,0.55285,1,3
8,0.05528,0.70469,1,4
8,0.06126,0.74497,1,6
8,0.03772,0.36811,2,1
8,0.04719,0.41309,1,2
8,0.05547,0.39028,1,1
8,0.88802,0.8414,2,5
8,0.03442,0.35396,2,1
9,0.1087,0.24379,0,0
9,0.15597,0.23829,1,0
9,0.26051,0.2878,0,1
9,0.26267,0.26443,1,6
9,0.24998,0.24374,0,0
9,0.25903,0.26609,1,6
9,0.04788,0.61871,1,3
9,0.05499,0.7013,2,4
9,0.0592,0.54336,2,3
9,0.06259,0.64049,1,4
9,0.06029,0.61663,0,3
9,0.05664,0.49997,0,2
9,0.05982,0.51205,0,3
9,0.03991,0.49949,2,2
9,0.04186,0.519,1,3
9,0.0562,0.41292,1,2
9,0.05808,0.37176,0,1
9,0.06005,0.25209,0,6
9,0.16713,0.23345,1,0
9,0.20938,0.28295,0,6
9,0.16404,0.36422,0,1
9,0.13031,0.43183,0,2
9,0.056,0.5113,0,3
9,0.05732,0.49418,1,2
9,0.87435,0.86564,2,5
10,0.08552,0.24491,0,0
10,0.07977,0.24617,0,6
10,0.07165,0.2711,1,6
10,0.05024,0.37978,0,1
10,0.05797,0.39351,0,2
10,0.06124,0.34301,0,1
10,0.08105,0.23384,2,0
10,0.2104,0.2593,0,6
10,0.17319,0.22628,2,0
10,0.09704,0.50361,1,2
10,0.05267,0.5125,1,3
10,0.07065,0.50061,1,2
10,0.10391,0.51543,2,3
10,0.1157,0.28538,0,1
10,0.11177,0.25525,0,6
10,0.1031,0.2307,1,0
10,0.08049,0.60994,2,3
10,0.08944,0.64281,2,4
10,0.09548,0.53818,0,3
10,0.06385,0.43073,0,2
10,0.07126,0.37438,2,1
10,0.11809,0.42516,1,2
10,0.0071,0.34933,0,6
10,0.02895,0.34662,1,1
10,0.10483,0.27143,0,6
10,0.10022,0.37502,0,1
10,0.05621,0.50645,1,2
10,0.11242,0.51699,1,3
10,0.03062,0.39417,1,2
10,0.02326,0.37007,2,1
10,0.0949,0.21844,1,0
10,0.10438,0.38329,2,1
10,0.19655,0.44127,0,2
10,0.76859,0.82814,0,6
10,0.87518,0.80516,1,5
10,0.8209,0.77844,0,6
10,0.12394,0.48301,1,2
10,0.06891,0.25167,0,6
10,0.07506,0.24158,0,0
10,0.07087,0.24799,0,6
10,0.10071,0.23829,1,0
11,0.1135,0.2469,0,6
11,0.20744,0.23944,1,0
11,0.23855,0.25645,1,6
11,0.28141,0.23202,1,0
11,0.09405,0.50706,0,2
11,0.09731,0.50838,0,6
11,0.12236,0.44544,2,2
11,0.07052,0.55899,2,3
11,0.03947,0.5091,0,6
11,0.0533,0.55897,1,3
11,0.05534,0.65501,2,4
11,0.03538,0.62055,0,3
11,0.04261,0.62414,0,3
11,0.04971,0.62472,0,3
11,0.04678,0.62657,1,4
11,0.04745,0.6164,2,3
11,0.05348,0.51128,0,3
11,0.07244,0.4118,0,2
11,0.08376,0.36833,0,1
11,0.2332,0.23757,2,0
11,0.04727,0.51273,2,3
11,0.04397,0.50812,0,2
11,0.045,0.51167,0,3
11,0.04471,0.50579,2,2
11,0.06847,0.55041,1,3
11,0.0505,0.50504,0,2
11,0.05971,0.559,0,3
11,0.18328,0.22658,1,0
11,0.21815,0.2661,0,6
11,0.17317,0.34718,0,1
11,0.06039,0.45198,1,2
11,0.09566,0.24372,1,0
11,0.88879,0.83744,2,5
11,0.21463,0.45949,1,2
12,0.22203,0.23758,2,0
12,0.21444,0.22895,1,0
12,0.0453,0.43378,2,2
12,0.06635,0.54767,1,3
12,0.045,0.66785,2,4
12,0.0256,0.38562,2,1
12,0.04006,0.39561,1,2
12,0.0284,0.38892,0,1
12,0.03684,0.39574,2,2
12,0.02645,0.36306,1,1
12,0.06366,0.56739,2,3
12,0.04151,0.69616,1,4
12,0.90078,0.84006,2,5
12,0.18151,0.30151,0,1
