Seq, time, fpogx, fpogy, fpogd, s
1.0,0.87744,0.12355,16.88476,0.0
1.0,1.07178,0.72496,0.48144,4.0
1.0,1.63672,0.92925,7.4297,6.0
1.0,2.51514,0.22253,2.68553,0.0
1.0,2.54639,0.28147,0.11719,6.0
1.0,2.90527,0.38499,2.57472,1.0
1.0,3.72705,0.45907,17.44971,2.0
2.0,4.10742,0.21935,3.03957,0.0
2.0,4.24756,0.2371,0.35791,0.0
2.0,4.28027,0.27847,0.15527,6.0
2.0,4.33447,0.3422,0.58349,1.0
2.0,4.82813,0.60269,5.61182,3.0
2.0,5.20557,0.64709,4.09084,4.0
2.0,6.07666,0.21035,6.87014,0.0
2.0,7.04541,0.50482,1.41309,2.0
2.0,7.50537,0.52994,5.18849,3.0
2.0,8.89453,0.48243,22.19725,2.0
2.0,8.94238,0.53644,0.38086,3.0
2.0,9.55957,0.88213,6.19189,5.0
2.0,9.84082,0.29258,0.81542,1.0
3.0,9.97803,0.26411,1.73681,6.0
3.0,11.18115,0.23574,23.18847,0.0
3.0,11.30566,0.39205,0.07031,6.0
3.0,11.85986,0.35664,7.18604,1.0
3.0,13.00879,0.49222,9.45801,2.0
3.0,13.55127,0.56635,8.57666,3.0
3.0,13.9292,0.65177,4.0835,4.0
3.0,14.65186,0.22745,13.42286,0.0
3.0,14.8335,0.25548,0.76124,6.0
3.0,15.11865,0.24046,4.77539,0.0
3.0,16.60791,0.37296,32.76319,1.0
3.0,17.14014,0.90236,5.30175,5.0
3.0,17.35352,0.25334,0.24219,6.0
3.0,17.88867,0.23253,11.7539,0.0
4.0,18.2334,0.2677,3.37793,6.0
4.0,19.00977,0.35598,17.77296,1.0
4.0,19.41602,0.2391,4.41942,0.0
4.0,20.15527,0.46638,13.46044,2.0
4.0,20.96387,0.56998,19.23534,3.0
4.0,21.78174,0.64979,8.61667,4.0
4.0,21.86816,0.61831,0.06543,3.0
4.0,22.24316,0.6423,5.91065,4.0
4.0,23.26172,0.36861,14.6328,1.0
4.0,23.73096,0.46569,5.34226,2.0
4.0,24.18115,0.85513,3.41016,5.0
4.0,24.59619,0.23124,1.33007,0.0
5.0,25.00488,0.25029,6.16846,6.0
5.0,25.13379,0.21398,0.27344,0.0
5.0,25.2041,0.26591,0.58546,6.0
5.0,25.97412,0.22948,2.51903,0.0
