TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,5522240235392,0.07982,0.17709,0.00000,1,
0.01563,5522240269602,0.07575,0.16864,0.01563,1,
0.03906,5522240305929,0.07270,0.16253,0.03907,1,
0.05469,5522240340410,0.07127,0.16118,0.05468,1,
0.07031,5522240375397,0.07147,0.16282,0.07032,1,
0.08594,5522240412316,0.07341,0.16771,0.08593,1,
0.10156,5522240446181,0.07572,0.17431,0.10157,1,
0.11719,5522240481110,0.07679,0.17665,0.11718,1,
0.13281,5522240516346,0.07808,0.17860,0.13282,1,
0.14844,5522240551826,0.07921,0.18029,0.14843,1,
0.16406,5522240587327,0.07938,0.18167,0.16407,1,
0.18750,5522240622862,0.07953,0.18474,0.18751,1,
0.20313,5522240660539,0.07969,0.18782,0.20313,1,
0.21875,5522240692749,0.08241,0.19059,0.21876,1,
0.23438,5522240728337,0.08561,0.19358,0.23438,1,
0.25000,5522240763474,0.10144,0.22230,0.23438,0,
0.26563,5522240797999,0.12261,0.24064,0.23438,0,
0.28125,5522240833665,0.12218,0.24244,0.23438,0,
0.29688,5522240868621,0.12051,0.23661,0.04688,1,
0.31250,5522240903484,0.07011,0.08838,0.04688,0,
0.32813,5522240939658,0.09191,0.10693,0.04688,0,
0.35156,5522240974739,0.09850,0.11500,0.04688,0,
0.36719,5522241009755,0.10195,0.12834,0.05469,1,
0.38281,5522241044768,0.11014,0.15109,0.07031,1,
0.39844,5522241079899,0.11649,0.16833,0.08594,1,
0.41406,5522241116081,0.11840,0.18204,0.10156,1,
0.42969,5522241150678,0.12252,0.18225,0.11719,1,
0.44531,5522241185922,0.12495,0.17959,0.13281,1,
0.46094,5522241220946,0.12491,0.17915,0.14844,1,
0.47656,5522241255954,0.12564,0.18146,0.16406,1,
0.49219,5522241291122,0.12665,0.18464,0.17969,1,
0.51563,5522241326674,0.12802,0.18742,0.20313,1,
0.53125,5522241365631,0.12842,0.18888,0.21875,1,
0.54688,5522241397432,0.12858,0.18940,0.23438,1,
0.56250,5522241432334,0.12859,0.18994,0.25000,1,
0.57813,5522241467719,0.12890,0.18995,0.26563,1,
0.59375,5522241502402,0.12918,0.18995,0.28125,1,
0.60938,5522241537603,0.12922,0.19063,0.29688,1,
0.62500,5522241573644,0.13285,0.19053,0.31250,1,
0.64063,5522241608824,0.13623,0.19090,0.32813,1,
0.65625,5522241643188,0.13813,0.19223,0.34375,1,
0.67969,5522241678859,0.13982,0.19331,0.36719,1,
0.69531,5522241714300,0.14128,0.19390,0.38281,1,
0.71094,5522241749037,0.14231,0.19460,0.39844,1,
0.72656,5522241784191,0.14440,0.19432,0.41406,1,
0.74219,5522241823678,0.14627,0.19370,0.42969,1,
0.75781,5522241854219,0.17316,0.19683,0.42969,0,
0.77344,5522241890120,0.16583,0.19304,0.42969,0,
0.78906,5522241925498,0.16416,0.19500,0.42969,0,
0.80469,5522241960518,0.16860,0.18850,0.04688,1,
0.82813,5522241995969,0.17073,0.19376,0.07031,1,
0.84375,5522242032047,0.17171,0.19540,0.08594,1,
0.85938,5522242065974,0.17143,0.18936,0.10156,1,
0.87500,5522242101007,0.17108,0.18138,0.11719,1,
0.89063,5522242136124,0.17081,0.17518,0.13281,1,
0.90625,5522242171709,0.17260,0.17841,0.14844,1,
0.92188,5522242207123,0.17452,0.18213,0.16406,1,
0.93750,5522242242182,0.17634,0.18614,0.17969,1,
0.95313,5522242277487,0.17620,0.18600,0.19531,1,
0.97656,5522242313464,0.17712,0.18525,0.21875,1,
0.99219,5522242350656,0.17792,0.18460,0.23438,1,
1.00781,5522242382519,0.17833,0.18647,0.25000,1,
1.02344,5522242418216,0.17883,0.18669,0.26563,1,
1.03906,5522242453780,0.17928,0.18689,0.28125,1,
1.05469,5522242488807,0.18013,0.18666,0.29688,1,
1.07031,5522242523963,0.17938,0.18592,0.31250,1,
1.08594,5522242558793,0.17859,0.18477,0.32813,1,
1.10156,5522242594821,0.17826,0.18631,0.34375,1,
1.12500,5522242633881,0.17780,0.20014,0.36719,1,
1.13281,5522242664450,0.17780,0.20014,0.37500,1,
1.15625,5522242699510,0.17780,0.20014,0.39844,1,
1.17188,5522242735795,0.17780,0.20014,0.41406,1,
1.18750,5522242771621,0.18079,0.21666,0.41406,0,
1.20313,5522242806100,0.18079,0.21666,0.41406,0,
1.21875,5522242841874,0.18079,0.21666,0.41406,0,
1.23438,5522242876871,0.00000,0.00000,0.41406,0,
1.25000,5522242911900,0.00000,0.00000,0.41406,0,
1.26563,5522242947357,0.00000,0.00000,0.41406,0,
1.28125,5522242982618,0.00000,0.00000,0.41406,0,
1.30469,5522243017913,0.00000,0.00000,0.41406,0,
1.32031,5522243053740,0.00000,0.00000,0.41406,0,
1.33594,5522243089174,0.00000,0.00000,0.41406,0,
1.35156,5522243123316,0.00000,0.00000,0.41406,0,
1.36719,5522243159698,0.00000,0.00000,0.41406,0,
1.38281,5522243194706,0.00000,0.00000,0.41406,0,
1.39844,5522243230277,0.00000,0.00000,0.41406,0,
1.42188,5522243267912,0.00000,0.00000,0.41406,0,
1.42969,5522243299711,0.00000,0.00000,0.41406,0,
1.45313,5522243335157,0.09680,0.09689,0.41406,0,
1.46875,5522243371700,0.12595,0.13104,0.41406,0,
1.48438,5522243404404,0.18736,0.19749,0.41406,0,
1.50000,5522243439638,0.19246,0.18480,0.41406,0,
1.51563,5522243474458,0.19786,0.17630,0.41406,0,
1.53125,5522243510630,0.20056,0.17205,0.04688,1,
1.54688,5522243545204,0.19982,0.17606,0.06250,1,
1.56250,5522243580074,0.19735,0.18254,0.07813,1,
1.57813,5522243615579,0.19523,0.18561,0.09375,1,
1.59375,5522243650642,0.19415,0.18286,0.10938,1,
1.60938,5522243685560,0.19510,0.17996,0.12500,1,
1.63281,5522243721389,0.19563,0.17653,0.14844,1,
1.64844,5522243755991,0.19726,0.17058,0.16406,1,
1.66406,5522243791727,0.19503,0.16581,0.17969,1,
1.67969,5522243826588,0.19333,0.16266,0.19531,1,
1.69531,5522243861827,0.19499,0.16479,0.21094,1,
1.71094,5522243896849,0.19400,0.16789,0.22656,1,
1.72656,5522243932154,0.19331,0.17163,0.24219,1,
1.74219,5522243968003,0.19413,0.17381,0.25781,1,
1.75781,5522244002500,0.19502,0.17665,0.27344,1,
1.78125,5522244038372,0.19603,0.17998,0.29688,1,
1.79688,5522244072757,0.19692,0.18310,0.31250,1,
1.81250,5522244108470,0.19719,0.18525,0.32813,1,
1.82813,5522244144090,0.19743,0.18716,0.34375,1,
1.84375,5522244178663,0.19757,0.18802,0.35938,1,
1.85938,5522244214364,0.19711,0.18918,0.37500,1,
1.87500,5522244248855,0.20014,0.21934,0.37500,0,
1.89063,5522244284580,0.19028,0.21730,0.37500,0,
1.90625,5522244319637,0.18680,0.20031,0.37500,0,
1.92188,5522244355351,0.18458,0.19081,0.04688,1,
1.94531,5522244390103,0.18692,0.18696,0.07031,1,
1.96094,5522244425180,0.18822,0.18550,0.08594,1,
1.97656,5522244460436,0.18913,0.18441,0.10156,1,
1.99219,5522244496591,0.19163,0.18636,0.11719,1,
2.00781,5522244530947,0.19068,0.18077,0.13281,1,
2.02344,5522244566144,0.18992,0.17630,0.14844,1,
2.03906,5522244601328,0.19058,0.17590,0.16406,1,
2.05469,5522244637030,0.19023,0.17864,0.17969,1,
2.07031,5522244672032,0.18992,0.18052,0.19531,1,
2.08594,5522244706608,0.19050,0.18207,0.21094,1,
2.10938,5522244742499,0.18947,0.18102,0.23438,1,
2.12500,5522244778397,0.18842,0.17943,0.25000,1,
2.14063,5522244812761,0.18781,0.17776,0.26563,1,
2.15625,5522244848401,0.18761,0.17636,0.28125,1,
2.17188,5522244883523,0.18769,0.17653,0.29688,1,
2.18750,5522244917831,0.18778,0.17696,0.31250,1,
2.20313,5522244953419,0.18813,0.18038,0.32813,1,
2.21875,5522244989097,0.18843,0.18322,0.34375,1,
2.23438,5522245024282,0.18808,0.18355,0.35938,1,
2.25000,5522245059694,0.18794,0.18228,0.37500,1,
2.27344,5522245094644,0.18773,0.18067,0.39844,1,
2.28906,5522245130081,0.18678,0.17899,0.41406,1,
