TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.23438,5522240728337,0.08561,0.19358,0.23438,1,
0.29688,5522240868621,0.12051,0.23661,0.04688,1,
0.74219,5522241823678,0.14627,0.19370,0.42969,1,
1.17188,5522242735795,0.17780,0.20014,0.41406,1,
1.85938,5522244214364,0.19711,0.18918,0.37500,1,
2.66406,5522245939666,0.18807,0.18620,0.78906,1,
3.03906,5522246749926,0.15118,0.18905,0.35938,1,
3.30469,5522247313515,0.14680,0.25398,0.24219,1,
3.82813,5522248440250,0.09913,0.40970,0.50781,1,
4.42188,5522249707819,0.09836,0.47685,0.57813,1,
4.76563,5522250447176,0.09203,0.45177,0.32813,1,
5.00000,5522250939755,0.12697,0.35902,0.21875,1,
5.35938,5522251714912,0.22139,0.24467,0.29688,1,
5.80469,5522252666009,0.34594,0.36646,0.38281,1,
6.22656,5522253581299,0.41449,0.45851,0.40625,1,
8.84375,5522259180166,0.90477,0.86493,2.50000,1,
9.02344,5522259568700,0.88460,0.88581,0.16406,1,
9.51563,5522260624253,0.09101,0.17218,0.22656,1,
10.15625,5522261998049,0.10677,0.17988,0.62500,1,
10.76563,5522263300636,0.11796,0.22082,0.59375,1,
11.76563,5522265448687,0.09767,0.37660,0.93750,1,
12.89844,5522267878264,0.09300,0.47156,1.11719,1,
13.19531,5522268511916,0.08636,0.50527,0.28125,1,
14.04688,5522270344112,0.07627,0.56160,0.83594,1,
14.65625,5522271646464,0.06469,0.65519,0.53906,1,
16.90625,5522276470107,0.06666,0.56731,2.23438,1,
19.10938,5522281189237,0.86885,0.84834,2.08594,1,
19.78125,5522282632860,0.09840,0.32789,0.31250,1,
20.16406,5522283442901,0.09592,0.20336,0.36719,1,
20.50781,5522284182808,0.10826,0.22459,0.32813,1,
20.75000,5522284710441,0.08276,0.35892,0.22656,1,
21.17969,5522285628230,0.10527,0.35612,0.41406,1,
22.38281,5522288197319,0.08987,0.47672,1.18750,1,
22.74219,5522288971831,0.08870,0.48369,0.34375,1,
23.11719,5522289781658,0.07965,0.58320,0.31250,1,
23.47656,5522290555939,0.07949,0.62212,0.34375,1,
23.95313,5522291579837,0.06283,0.65627,0.46094,1,
24.20313,5522292106157,0.11830,0.67013,0.23438,1,
24.78125,5522293341516,0.12121,0.64303,0.56250,1,
25.66406,5522295245790,0.08167,0.65915,0.86719,1,
25.99219,5522295944332,0.12538,0.66477,0.31250,1,
26.61719,5522297284520,0.09871,0.39667,0.35938,1,
27.28906,5522298725948,0.08354,0.36987,0.65625,1,
27.50781,5522299184288,0.09422,0.23232,0.20313,1,
27.82031,5522299852906,0.09635,0.18775,0.29688,1,
28.24219,5522300768548,0.08170,0.35676,0.35938,1,
28.65625,5522301648650,0.09677,0.36245,0.39844,1,
29.13281,5522302670467,0.88620,0.85737,0.35938,1,
29.92188,5522304360883,0.91194,0.85689,0.77344,1,
30.07031,5522304678431,0.93993,0.87070,0.13281,1,
30.65625,5522305946217,0.93143,0.84324,0.27344,1,
31.64063,5522308057550,0.10228,0.37494,0.67188,1,
32.28906,5522309431342,0.13364,0.33031,0.62500,1,
32.67969,5522310276926,0.10862,0.19875,0.37500,1,
33.23438,5522311473915,0.17218,0.19439,0.53906,1,
33.57031,5522312180008,0.06885,0.42032,0.26563,1,
33.82813,5522312741643,0.07107,0.51920,0.24219,1,
34.70313,5522314608124,0.07041,0.57427,0.85938,1,
35.53906,5522316403734,0.87785,0.84686,0.72656,1,
35.85156,5522317072370,0.19287,0.21298,0.25000,1,
36.14844,5522317706361,0.12955,0.22551,0.28125,1,
36.40625,5522318270053,0.13874,0.25571,0.24219,1,
36.80469,5522319115655,0.20273,0.18994,0.38281,1,
37.04688,5522319644205,0.31040,0.13296,0.22656,1,
37.42969,5522320453197,0.36543,0.16493,0.36719,1,
38.11719,5522321932448,0.28268,0.14212,0.67188,1,
39.05469,5522323939434,0.36833,0.17311,0.92188,1,
39.28125,5522324433573,0.33276,0.19236,0.21094,1,
39.77344,5522325489327,0.13487,0.36446,0.22656,1,
40.67969,5522327426036,0.09136,0.38046,0.88281,1,
41.58594,5522329363579,0.08603,0.36484,0.89063,1,
42.02344,5522330313332,0.08516,0.38571,0.42188,1,
42.46875,5522331264691,0.07880,0.47782,0.37500,1,
42.91406,5522332215937,0.08417,0.59040,0.42969,1,
43.24219,5522332919114,0.07221,0.60071,0.31250,1,
43.95313,5522334433918,0.07457,0.49461,0.69531,1,
44.29688,5522335173442,0.07290,0.45605,0.32813,1,
44.77344,5522336193882,0.08539,0.42996,0.46094,1,
45.10156,5522336898812,0.06995,0.49029,0.31250,1,
45.56250,5522337884907,0.07252,0.55354,0.44531,1,
45.90625,5522338624269,0.31876,0.15764,0.28125,1,
46.05469,5522338941954,0.39216,0.21962,0.13281,1,
46.65625,5522340243482,0.87886,0.84235,0.34375,1,
