TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,5180992916039,0.81066,0.56672,0.00000,1,
0.01672,5180992951795,0.80881,0.56265,0.01672,1,
0.03467,5180992990220,0.81107,0.55975,0.03467,1,
0.04944,5180993021776,0.81524,0.55594,0.04944,1,
0.06604,5180993057561,0.81849,0.55299,0.06604,1,
0.08240,5180993092659,0.82014,0.55144,0.08240,1,
0.09900,5180993128143,0.81819,0.55249,0.09900,1,
0.11536,5180993163223,0.81639,0.55403,0.11536,1,
0.13184,5180993198449,0.81500,0.55306,0.13184,1,
0.15051,5180993238503,0.81525,0.55111,0.15051,1,
0.16443,5180993268452,0.81561,0.54886,0.16443,1,
0.18066,5180993303186,0.81574,0.54680,0.18066,1,
0.19714,5180993338620,0.81507,0.54489,0.19714,1,
0.21387,5180993374315,0.81459,0.54273,0.21387,1,
0.23022,5180993409474,0.81620,0.54160,0.23022,1,
0.25012,5180993451968,0.81748,0.54107,0.25012,1,
0.26318,5180993480022,0.81852,0.54098,0.26318,1,
0.27917,5180993514424,0.81717,0.54040,0.27917,1,
0.29602,5180993550312,0.81630,0.54065,0.29602,1,
0.31250,5180993585723,0.81550,0.54107,0.31250,1,
0.32861,5180993620286,0.81553,0.54041,0.32861,1,
0.34521,5180993655898,0.81557,0.53959,0.34521,1,
0.36182,5180993691571,0.81569,0.53854,0.36182,1,
0.37781,5180993725858,0.81549,0.53684,0.37781,1,
0.39453,5180993761565,0.81455,0.53693,0.39453,1,
0.41089,5180993796576,0.81361,0.53713,0.41089,1,
0.42712,5180993831543,0.81428,0.53678,0.42712,1,
0.44373,5180993867141,0.81480,0.53621,0.44373,1,
0.46008,5180993902176,0.81530,0.53567,0.46008,1,
0.47791,5180993940254,0.81588,0.53585,0.47790,1,
0.49329,5180993973328,0.81617,0.53546,0.49329,1,
0.51013,5180994009303,0.81650,0.53487,0.51013,1,
0.52612,5180994043774,0.81658,0.53437,0.52612,1,
0.54248,5180994078651,0.81655,0.53349,0.54248,1,
0.55884,5180994113896,0.81650,0.53278,0.55884,1,
0.57629,5180994151189,0.81660,0.53285,0.57629,1,
0.59192,5180994184792,0.81672,0.53284,0.59192,1,
0.60803,5180994219190,0.81678,0.53292,0.60803,1,
0.62451,5180994254475,0.81664,0.53251,0.62451,1,
0.64087,5180994289598,0.81656,0.53293,0.64087,1,
0.65723,5180994324723,0.81643,0.53350,0.65723,1,
0.67358,5180994359867,0.81617,0.53371,0.67358,1,
0.69238,5180994399907,0.81604,0.53461,0.69238,1,
0.70679,5180994430832,0.81592,0.53548,0.70679,1,
0.72302,5180994465651,0.81602,0.53541,0.72302,1,
0.73975,5180994501552,0.81620,0.53502,0.73975,1,
0.75647,5180994537453,0.81643,0.53446,0.75647,1,
0.77222,5180994571281,0.81745,0.53333,0.77222,1,
0.78918,5180994607549,0.81796,0.53273,0.78918,1,
0.80627,5180994644159,0.81844,0.53227,0.80627,1,
0.82178,5180994677449,0.81858,0.53137,0.82178,1,
0.83838,5180994712856,0.81799,0.53076,0.83838,1,
0.85461,5180994747752,0.81736,0.53031,0.85461,1,
0.87097,5180994782712,0.81718,0.53017,0.87097,1,
0.88733,5180994817830,0.81756,0.52969,0.88733,1,
0.90381,5180994853217,0.81799,0.52904,0.90381,1,
0.92017,5180994888325,0.81831,0.52852,0.92017,1,
0.93677,5180994923866,0.81858,0.52841,0.93677,1,
0.95313,5180994958806,0.81885,0.52830,0.95312,1,
0.96948,5180994993982,0.81897,0.52850,0.96948,1,
0.98584,5180995029116,0.81913,0.52830,0.98584,1,
1.00256,5180995064996,0.81929,0.52820,1.00256,1,
1.01892,5180995099982,0.81901,0.52833,1.01892,1,
1.03540,5180995135323,0.81879,0.52758,1.03540,1,
1.05176,5180995170437,0.81859,0.52675,1.05176,1,
1.06812,5180995205460,0.81894,0.52630,1.06811,1,
1.08459,5180995240841,0.81916,0.52557,1.08459,1,
1.10107,5180995276074,0.81934,0.52493,1.10107,1,
1.11938,5180995315326,0.81951,0.52502,1.11938,1,
1.13464,5180995347902,0.81992,0.52551,1.13464,1,
1.15027,5180995381576,0.82043,0.52584,1.15027,1,
1.16663,5180995416686,0.82120,0.52600,1.16663,1,
1.18298,5180995451610,0.82202,0.52481,1.18298,1,
1.19934,5180995486742,0.82288,0.52336,1.19934,1,
1.21582,5180995521940,0.82309,0.52228,1.21582,1,
1.23328,5180995559513,0.82336,0.52208,1.23328,1,
1.24915,5180995593397,0.82347,0.52240,1.24915,1,
1.26526,5180995627864,0.82329,0.52214,1.26526,1,
1.28174,5180995663186,0.82338,0.52259,1.28174,1,
1.29797,5180995698107,0.82338,0.52337,1.29797,1,
1.31458,5180995733791,0.82296,0.52437,1.31457,1,
1.33105,5180995769079,0.82307,0.52556,1.33105,1,
1.34741,5180995804078,0.82318,0.52666,1.34741,1,
1.36365,5180995838894,0.82298,0.52730,1.36365,1,
1.38086,5180995875893,0.82297,0.52787,1.38086,1,
1.39648,5180995909386,0.82304,0.52819,1.39648,1,
1.41333,5180995945300,0.82323,0.52838,1.41333,1,
1.42957,5180995980287,0.82345,0.52781,1.42957,1,
1.44763,5180996018859,0.82376,0.52691,1.44763,1,
